time,angle
0.8,-18.03
0.83,-7.49
0.87,3.92
0.9,15.05
0.93,25.22
0.97,33.74
1,40.29
1.03,44.44
1.07,46.01
1.1,44.81
1.13,40.85
1.17,34.59
1.2,26.31
1.23,16.46
1.27,4.93000000000001
1.3,-6.73
1.33,-17.76
1.37,-26.98
1.4,-34.08
1.43,-38.93
1.47,-41.24
1.5,-40.9
1.53,-37.83
1.57,-32.97
1.6,-25.03
1.63,-15.82
1.67,-4.95999999999999
1.7,6.19
1.73,17.37
1.77,27.08
1.8,35.05
1.83,40.99
1.87,44.57
1.9,45.53
1.93,43.81
1.97,39.42
2,32.7
2.03,24.25
2.07,14.13
2.1,2.66
2.13,-8.73
2.17,-19.24
2.2,-28.04
2.23,-34.9
2.27,-38.95
2.3,-40.58
2.33,-40.19
2.37,-37.01
2.4,-30.8
2.43,-22.9
2.47,-13.31
2.5,-2.61
2.53,8.64
2.57,19.41
2.6,28.75
2.63,36.12
2.67,41.39
2.7,44.58
2.73,44.88
2.77,42.5
2.8,37.57
2.83,30.56
2.87,21.63
2.9,11.21
2.93,-0.319999999999993
2.97,-11.68
3,-21.5
3.03,-29.59
3.07,-35.61
3.1,-39.37
3.13,-40.51
3.17,-38.96
3.2,-34.9
3.23,-28.8
3.27,-20.49
3.3,-10.85
3.33,0.0300000000000011
3.37,11.21
3.4,21.65
3.43,30.44
3.47,37.37
3.5,42.06
3.53,44.41
3.57,44.07
3.6,41.06
3.63,35.7
3.67,28.17
3.7,19.01
3.73,8.11
3.77,-2.94
3.8,-14.01
3.83,-23.42
3.87,-31.06
3.9,-36.26
3.93,-40.18
3.97,-40.5
4,-37.92
4.03,-33.28
4.07,-26.48
4.1,-18.12
4.13,-7.87
4.17,3.2
4.2,14.09
4.23,23.85
4.27,32.08
4.3,38.53
4.33,42.52
4.37,44.18
4.4,43.04
4.43,39.24
4.47,33.32
4.5,25.5
4.53,16.18
4.57,5.2
4.6,-5.91
4.63,-16.77
4.67,-25.23
4.7,-32.84
4.73,-36.89
4.77,-39.17
4.8,-39.1
4.83,-36.16
4.87,-31.57
