time,angle
11.50,41.10
11.53,40.41
11.57,38.35
11.60,35.05
11.63,30.51
11.67,24.97
11.70,18.62
11.73,11.72
11.77,4.43
11.80,-2.97
11.83,-10.30
11.87,-17.19
11.90,-23.37
11.93,-28.78
11.97,-33.22
12.00,-36.48
12.03,-38.51
12.07,-39.17
12.10,-38.53
12.13,-36.48
12.17,-33.04
12.20,-28.43
12.23,-22.70
12.27,-16.06
12.30,-8.77
12.33,-1.07
12.37,6.84
12.40,14.49
12.43,21.64
12.47,27.93
12.50,33.14
12.53,37.22
12.57,39.99
12.60,41.38
12.63,41.40
12.67,39.95
12.70,37.23
12.73,33.22
12.77,28.12
12.80,22.15
12.83,15.43
12.87,8.22
12.90,0.89
12.93,-6.40
12.97,-13.42
13.00,-19.91
13.03,-25.71
13.07,-30.71
13.09,-34.34
13.13,-37.04
13.16,-38.43
13.19,-38.52
13.23,-37.29
13.26,-34.71
13.29,-30.90
13.33,-25.85
13.36,-19.81
13.39,-12.81
13.43,-5.25
13.46,2.62
13.49,10.17
13.53,17.41
13.56,24.11
13.59,29.79
13.63,34.49
13.66,38.02
13.69,40.12
13.73,40.88
13.76,40.19
13.79,38.11
13.83,34.75
13.86,30.20
13.89,24.72
13.93,18.31
13.96,11.47
13.99,4.26
14.03,-2.93
14.06,-10.02
14.09,-16.72
14.13,-22.79
14.16,-28.12
14.19,-32.42
14.23,-35.68
14.26,-37.54
14.29,-38.15
14.33,-37.52
14.36,-35.51
14.39,-32.27
14.43,-27.81
14.46,-22.25
14.49,-15.70
14.53,-8.46
14.56,-0.78
14.59,6.88
14.63,14.22
14.66,21.05
14.69,27.14
14.73,32.33
14.76,36.24
14.79,38.93
14.83,40.19
14.86,40.13
14.89,38.62
14.93,35.77
14.96,31.74
14.99,26.66
15.03,20.70
15.06,14.11
15.09,7.15
15.13,0.06
15.16,-6.96
15.19,-13.78
15.23,-20.05
15.26,-25.73
15.29,-30.45
15.33,-34.06
15.36,-36.48
15.39,-37.62
15.43,-37.43
15.46,-35.98
15.49,-33.19
15.53,-29.21
15.56,-24.17
