time,angle
0,-54.8
0.2,29.5
1.7,79.02
2,19.26
2.1,-20.44
2.2,-53.66
2.3,-75
2.4,-79
2.5,-64.85
2.9,69.33
3,76.89
3.1,65.92
3.49,-61.16
3.59,-76.21
3.69,-72.98
3.79,-52.15
4.19,72.72
4.29,72.02
4.39,53.33
4.69,-47.36
4.79,-69.25
4.89,-74.88
4.99,-62.19
5.39,65.18
5.49,72.37
5.59,61.34
5.69,35.62
5.99,-60.71
6.09,-72.84
6.19,-67.1
6.29,-44.37
6.59,56.75
6.69,70.36
6.79,65.39
6.89,43.57
7.19,-52.59
7.29,-69.33
7.39,-69.13
7.49,-51.37
7.89,66.41
7.99,66.55
8.09,49.17
8.39,-45.59
8.49,-65.43
8.59,-69.37
8.69,-55.8
8.99,42.23
9.09,62.96
9.19,66.9
9.29,52.89
9.59,-39.42
9.69,-61.45
9.79,-68.4
9.89,-57.79
10.19,36.82
10.29,59.52
10.39,65.76
10.49,54.5
10.89,-58.14
10.99,-67
11.09,-58.59
11.39,33.51
11.49,56.63
11.59,64.64
11.69,55.01
11.79,31.51
12.09,-55.88
12.19,-65.67
12.29,-58.41
12.39,-36.55
12.59,31.3
12.69,54.61
12.79,63.24
12.89,54.54
12.99,31.96
13.29,-54.34
13.39,-64.38
13.49,-57.66
13.59,-36.29
13.79,30.47
13.89,53.37
13.99,62.09
14.09,53.33
14.19,31.13
14.49,-53.61
14.59,-63.22
14.69,-56.17
14.99,31.07
15.09,53.23
15.19,60.91
15.29,51.86
15.39,29.3
15.69,-53.61
15.79,-62.03
15.89,-54.06
16.19,32.52
16.29,53.48
16.39,59.79
16.49,49.38
16.59,26.22
16.89,-54.26
16.99,-61.04
17.09,-51.61
17.39,34.81
17.49,54.15
17.59,58.27
17.69,46.35
17.79,22.39
17.99,-36.44
18.09,-55.02
18.19,-59.64
18.29,-48.15
18.39,-22.97
18.69,54.77
18.79,56.61
18.99,17.76
19.19,-39
19.29,-55.98
19.39,-57.92
19.49,-44.2
19.59,-18.15
19.69,14.89
19.99,54.22
20.19,12.29
20.29,-18
20.39,-42.58
20.49,-56.59
20.59,-55.45
20.69,-38.88
20.89,20.67
21.09,55.41
21.19,50.89
21.39,5.73
21.59,-46.09
21.69,-56.76
21.79,-51.98
22.29,55.1
22.49,26.18
22.79,-49.34
22.89,-56.23
22.99,-47.68
23.19,4.7
23.39,50.02
23.49,53.47
23.69,18.57
23.79,-9.77
23.99,-51.9
24.09,-54.61
24.19,-42.12
24.29,-17.81
24.39,12.62
24.59,51.74
24.69,50.64
24.89,10.27
24.99,-17.96
25.09,-40.99
25.19,-53.6
25.29,-51.7
25.39,-36.16
25.59,21.42
25.69,42.94
25.79,52.49
25.89,46.5
25.99,27.78
26.29,-46.05
26.39,-53.99
26.49,-47.22
26.69,2.05
26.89,47.08
26.99,51.58
27.09,40.78
27.19,18.95
27.49,-49.68
27.59,-52.67
27.69,-40.87
27.79,-17.73
27.89,12.25
27.99,36.04
28.09,49.87
28.19,48.48
28.39,9.3
28.49,-18.5
28.59,-39.86
28.69,-51.63
28.79,-49.23
29.09,21.87
29.19,42.28
29.29,50.21
29.39,43.55
29.49,24.78
29.79,-45.5
29.89,-51.8
29.99,-43.81
30.09,-22.49
30.19,5.54000000000001
30.39,46.58
30.49,48.87
30.59,36.66
30.69,14.56
30.89,-36.97
30.99,-49.03
31.09,-49.59
31.19,-36.35
31.39,16.48
31.49,38.09
31.59,48.73
31.69,44.79
31.79,28.24
31.99,-22.07
32.09,-41.78
32.19,-50.33
32.29,-44.84
32.49,0.939999999999998
32.59,26.53
32.69,43.68
32.79,47.92
32.89,38.27
32.99,17.85
33.29,-46.59
33.39,-49.02
33.49,-37.45
33.69,12.96
33.79,35.19
33.89,46.92
33.99,44.82
34.09,29.91
34.19,6.48
34.29,-19.38
34.39,-39.08
34.49,-48.63
34.59,-44.68
34.89,23.86
34.99,41.65
35.09,47.02
35.19,38.61
35.29,19.44
35.59,-44.63
35.69,-48.06
35.79,-37.5
35.89,-16.2
35.99,11.17
36.09,33.36
36.19,45.53
36.29,44.2
36.39,30.19
36.49,7.47
36.59,-18.04
36.69,-37.68
36.79,-47.43
36.89,-44
37.19,22.54
37.29,40.09
37.39,45.97
37.49,37.93
37.59,19.11
37.89,-43.62
37.99,-46.87
38.09,-36.74
38.19,-15.7
38.29,10.66
38.49,44.03
38.59,42.61
38.69,28.93
38.79,6.83
38.89,-18.3
38.99,-37.17
39.09,-46.51
39.19,-42.71
39.49,22.33
39.59,39.32
39.69,44.48
39.79,36.16
39.89,17.54
40.19,-43.16
40.29,-45.82
40.39,-35.7
40.49,-14.22
40.59,11.45
40.79,43.21
40.89,40.94
40.99,26.94
41.09,4.91
41.19,-19.32
41.29,-37.57
41.39,-45.66
41.49,-40.93
41.59,-23.86
41.69,0.180000000000007
41.79,25.5
42.19,16.34
42.49,-43.04
42.59,-44.24
42.79,-11.11
42.89,14.6
43.29,25.93
43.49,-20.87
43.59,-38.14
43.69,-44.69
43.79,-38.41
43.89,-20.49
43.99,3.56999999999999
44.09,27.66
44.39,33.48
44.49,12.76
44.59,-11.45
44.79,-43.05
44.89,-42.21
45.19,18.25
45.59,21.91
45.69,-1.2
45.79,-23.75
45.89,-39.39
45.99,-43.68
46.09,-35.8
46.19,-16.77
46.29,7.98
46.69,29.47
46.79,8
46.89,-15.65
46.99,-34.51
47.09,-42.94
47.19,-39.66
47.29,-24.5
47.49,22.25
47.89,16.92
48.19,-40.44
48.29,-41.99
48.39,-31.71
48.49,-11.24
48.59,13.22
48.99,24.54
49.09,2.64
49.19,-19.83
49.29,-36.5
49.39,-42.47
49.49,-36.44
49.59,-19.29
49.69,3.84
49.79,26.72
50.09,30.83
50.19,10.94
50.29,-11.94
50.39,-31.37
50.49,-41.29
50.59,-39.5
50.69,-26.11
50.89,19.1
51.29,18.71
51.49,-24.51
51.59,-38.45
51.69,-41.15
51.79,-32.17
51.89,-13.09
51.99,10.83
52.39,25.37
52.49,4.23
52.59,-17.74
52.69,-34.64
52.79,-41.17
52.89,-36.17
52.99,-20.03
53.09,2.78
53.19,24.86
53.59,11.79
53.69,-10.43
53.79,-29.62
53.89,-39.81
53.99,-38.65
54.09,-26.08
54.29,17.83
54.69,18.6
54.89,-23.32
54.99,-36.97
55.09,-39.87
55.19,-31.33
55.29,-12.82
55.39,10.48
55.49,30.3
55.79,24.71
55.89,3.97
55.99,-17.26
56.09,-33.48
56.19,-39.85
56.29,-34.98
56.39,-19.21
56.49,3.23
56.59,24.5
56.99,10.73
57.09,-10.78
57.19,-29.12
57.29,-38.56
57.39,-37.35
57.49,-24.75
57.69,18.06
58.09,16.96
58.29,-23.65
58.39,-36.6
58.49,-38.74
58.59,-29.76
