time,angle
0.53,75
0.93,-67
1.00,-80
1.13,-82
1.20,-71
1.67,82.12
1.73,81.49
1.80,72.2
2.27,-78
2.33,-82
2.40,-78
2.93,79.7
3.00,77.9
3.53,-77
3.60,-79
3.67,-74
4.13,73.6
4.20,77.7
4.27,73.2
4.73,-69
4.80,-77
4.87,-76
5.40,74.6
5.47,74.9
5.53,67
6.00,-72
6.07,-76
6.13,-71
6.60,70.1
6.67,73.9
6.73,69.6
7.20,-67
7.27,-74
7.33,-72
7.87,72
7.93,70.3
8.47,-71
8.53,-72
8.60,-65
9.07,69.6
9.13,69.8
9.67,-69
9.73,-71
9.80,-65
10.30,67.5
10.30,68.9
10.40,62.4
10.90,-67
10.90,-70
11.00,-65
11.50,65.8
11.50,67.7
11.60,61.8
12.10,-65
12.10,-68
12.20,-64
12.70,64.5
12.70,66.4
12.80,60.4
13.30,-64
13.30,-67
13.40,-62
13.90,63.7
13.90,64.9
14.00,58.6
14.50,-64
14.50,-66
14.60,-60
15.00,55.4
15.10,63.2
15.10,63.5
15.20,56.3
15.70,-64
15.70,-64
15.80,-58
16.20,56.4
16.30,62.8
16.30,61.7
16.90,-64
16.90,-63
17.40,57.8
17.50,62.3
17.50,59.4
18.00,-59
18.10,-63
18.10,-61
18.60,58.9
18.70,61.3
18.70,56.3
19.20,-60
19.30,-62
19.30,-57
19.70,52.5
19.80,59.8
19.90,59.7
19.90,52.4
20.40,-61
20.50,-61
20.90,55.4
21.00,59.8
21.10,56.9
21.50,-57
21.60,-61
21.70,-58
22.10,48.8
22.10,57.3
22.20,58.7
22.30,52.9
22.70,-59
22.80,-60
22.90,-53
23.30,52.7
23.30,58
23.40,56.1
23.90,-55
23.90,-59
24.00,-57
24.50,55.5
24.50,57.1
24.60,51.8
25.10,-57
25.10,-58
25.60,51.3
25.70,56.4
25.70,54.3
26.20,-53
26.30,-57
26.30,-54
26.70,46.3
26.80,54.2
26.90,55.2
26.90,49.4
27.40,-56
27.50,-56
27.90,50.9
28.00,54.7
28.10,51.8
28.50,-53
28.60,-55
28.70,-51
29.10,47
29.10,53.3
29.20,52.8
29.30,45.6
29.70,-54
29.80,-53
30.30,51.1
30.30,52.9
30.40,48.2
30.90,-53
30.90,-53
31.40,48.4
31.50,52.2
31.50,49.7
32.00,-50
32.10,-53
32.10,-49
32.50,45.2
32.60,51
32.70,50.3
32.70,43.3
33.20,-52
33.30,-50
33.70,42
33.70,49.5
33.80,50.5
33.90,45.2
34.30,-51
34.40,-50
34.90,47.5
34.90,50.2
35.00,46.5
35.50,-49
35.50,-50
36.00,45.6
36.10,49.6
36.10,47.4
36.70,-50
37.10,43.3
37.20,48.6
37.30,47.7
37.30,40.7
37.80,-49
37.90,-47
38.30,41.3
38.30,47.6
38.40,47.8
38.50,42
38.90,-49
39.00,-47
39.40,39.4
39.50,46.7
39.50,47.9
39.60,43
40.10,-48
40.10,-47
40.50,37.6
40.60,45.7
40.70,47.7
40.70,43.6
41.20,-47
41.30,-48
41.70,44.6
41.80,47.3
41.90,44.1
42.30,-46
42.40,-47
42.90,43.5
42.90,46.9
43.00,44.3
43.50,-46
43.50,-47
44.00,42.5
44.10,46.4
44.10,44.4
44.70,-47
45.10,41.5
45.20,45.9
45.30,44.3
45.80,-47
46.30,40.7
46.30,45.5
46.40,44.2
46.50,37.3
46.90,-46
47.00,-43
47.40,40.1
47.50,45
47.50,44
47.60,37.2
48.00,-43
48.10,-46
48.10,-43
48.50,39.5
48.60,44.4
48.70,43.6
48.70,37.1
49.10,-43
49.20,-46
49.30,-43
49.70,39
49.70,44
49.80,43.2
49.90,36.8
50.30,-42
50.30,-45
50.40,-42
50.80,38.5
50.90,43.5
50.90,42.7
51.00,36.3
51.40,-42
51.50,-45
51.50,-42
51.90,38.3
52.00,43.2
52.10,42.3
52.10,35.8
52.50,-42
52.60,-44
52.70,-41
53.10,38.1
53.10,42.9
53.20,41.7
53.70,-42
53.70,-44
53.80,-41
54.20,38.2
54.30,42.6
54.30,41.2
54.90,-44
54.90,-40
55.30,38.2
55.40,42.2
55.50,40.6
55.90,-41
56.00,-43
56.10,-39
56.50,38.2
56.50,41.7
56.60,39.9
57.10,-41
57.10,-43
57.60,38.1
57.70,41.4
57.70,39.1
58.20,-41
58.30,-42
58.70,38.2
58.80,40.8
58.90,38
59.30,-42
59.40,-42
59.90,38.1
59.90,40.2
60.00,36.9
61.00,38.3
61.10,39.9
61.10,36
62.10,38.6
62.20,39.4
62.30,34.8
63.30,38.5
63.30,38.6
63.40,33.4
64.30,33.9
64.40,38.6
64.50,38
65.50,34.6
65.50,38.8
65.60,37.3
66.60,35.4
66.70,38.6
66.70,36.3
67.70,36.1
67.80,38.2
67.90,35
68.90,36.5
68.90,37.7
69.00,33.6
70.00,36.9
70.10,37
70.10,32
71.10,32.6
71.10,37
71.20,36.1
72.20,33.7
72.30,37.1
72.30,35.1
73.30,34.5
73.40,36.7
73.50,33.7
74.50,35.1
74.50,36.1
74.60,32.2
75.60,35.4
75.70,35.2
75.70,30.2
76.70,31.8
76.70,35.5
76.80,34.1
77.80,32.8
77.90,35.3
77.90,32.7
78.90,33.6
79.00,34.7
79.10,31
80.00,29.1
80.10,33.8
80.10,33.7
80.20,28.9
81.10,30.7
81.20,34
81.30,32.7
82.30,31.8
82.30,33.9
82.40,31.3
83.40,32.6
83.50,33.4
83.50,29.5
84.50,28.9
84.50,33.2
84.60,32.6
84.70,27.5
85.60,30.4
85.70,33.2
85.70,31.3
86.70,31.5
86.80,32.9
86.90,29.6
87.90,32.2
87.90,32.1
88.00,27.6
88.90,29.2
89.00,32.4
89.10,30.9
90.10,30.6
90.10,32.2
90.20,29.3
91.10,26.5
91.20,31.3
91.30,31.5
91.30,27.3
92.30,28.2
92.30,31.5
92.40,30.4
92.50,24.8
93.40,29.5
93.50,31.5
93.50,28.7
94.50,25.9
94.50,30.6
94.60,30.8
94.70,26.7
95.60,27.7
95.70,30.9
95.70,29.7
96.70,29.1
96.80,30.8
96.90,28
96.90,21.3
97.30,-32
97.40,-31
97.50,-26
97.80,25.5
97.90,29.8
97.90,29.9
98.00,25.8
98.10,18
98.40,-30
98.50,-32
98.50,-30
98.90,20.3
98.90,27.3
99.00,30.1
99.10,28.7
99.10,23.2
99.50,-27
99.50,-31
99.60,-31
99.70,-27
100.00,23.2
100.00,28.6
100.00,29.9
100.00,27
100.00,20.3
101.00,-28
101.00,-31
101.00,-30
101.00,17.6
101.00,25.4
101.00,29.3
101.00,29.1
101.00,24.7
101.00,16.8
102.00,-4
102.00,-30
102.00,-31
102.00,-28
102.00,11.3
102.00,20.7
102.00,27
102.00,29.4
102.00,27.6
102.00,21.9
103.00,13.3
103.00,-27
103.00,-30
103.00,-30
103.00,-26
103.00,15
103.00,23.4
103.00,28.2
103.00,29
104.00,25.7
104.00,18.9
104.00,-28
104.00,-31
104.00,-29
104.00,18.3
104.00,25.4
105.00,28.7
105.00,27.9
105.00,23.2
105.00,15.2
105.00,-29
105.00,-30
105.00,-27
105.00,12.2
106.00,21.2
106.00,26.9
106.00,28.6
106.00,26.3
106.00,20.2
106.00,11.4
106.00,-27
106.00,-30
106.00,-29
107.00,16
107.00,23.6
107.00,27.8
107.00,27.9
107.00,24.2
107.00,16.9
107.00,-28
107.00,-30
107.00,-28
