time,angle
5.00,-39.04
5.03,-36.44
5.07,-33.36
5.10,-28.50
5.13,-22.72
5.17,-16.16
5.20,-9.09
5.23,-1.61
5.27,5.84
5.30,13.18
5.33,20.00
5.37,26.18
5.40,31.53
5.43,35.72
5.47,39.36
5.50,41.18
5.53,41.80
5.57,41.24
5.60,39.51
5.64,36.57
5.67,31.94
5.70,26.62
5.74,20.53
5.77,13.60
5.80,6.15
5.84,-1.40
5.87,-8.90
5.90,-16.16
5.94,-22.80
5.97,-28.71
6.00,-33.62
6.04,-37.40
6.07,-40.01
6.10,-41.34
6.14,-41.16
6.17,-39.61
6.20,-36.83
6.24,-32.86
6.27,-27.82
6.30,-21.78
6.34,-15.23
6.37,-8.13
6.40,-0.77
6.44,6.56
6.47,14.14
6.50,20.81
6.54,26.78
6.57,31.88
6.60,35.98
6.64,38.90
6.67,40.67
6.70,41.18
6.74,40.40
6.77,38.42
6.80,35.21
6.84,30.82
6.87,25.36
6.90,19.04
6.94,12.10
6.97,4.22
7.00,-2.83
7.04,-10.65
7.07,-16.16
7.10,-22.71
7.14,-30.61
7.17,-34.95
7.20,-38.24
7.24,-40.32
7.27,-41.06
7.30,-40.50
7.34,-38.60
7.37,-35.51
7.40,-31.33
7.44,-26.02
7.47,-19.93
7.50,-11.72
7.54,-4.54
7.57,2.76
7.60,10.05
7.64,17.11
7.67,23.55
7.70,29.21
7.74,34.05
7.77,37.86
7.80,40.48
7.84,40.70
7.87,40.67
7.90,39.48
7.94,38.06
7.97,34.54
8.00,29.72
8.04,24.00
8.07,17.49
8.10,10.46
8.14,3.06
8.17,-4.41
8.20,-11.57
8.24,-18.34
8.27,-24.43
8.30,-31.05
8.34,-35.19
8.37,-38.24
8.40,-39.97
8.44,-40.43
8.47,-39.57
8.50,-37.48
8.54,-34.08
8.57,-29.68
8.60,-22.91
8.64,-16.72
8.67,-9.97
8.70,-2.79
8.74,4.47
8.77,11.61
8.80,18.49
8.84,24.71
8.87,30.18
8.90,34.70
8.94,38.14
8.97,40.46
9.00,41.43
9.04,41.15
9.07,39.62
9.10,36.88
9.14,33.04
9.17,28.04
