time,angle
5.73,-41.63
5.77,-41.24
5.80,-39.78
5.83,-37.39
5.87,-34.25
5.90,-31.86
5.93,-26.03
5.97,-18.98
6.00,-12.26
6.03,-7.31
6.07,0.62
6.10,8.71
6.13,16.14
6.27,41.48
6.33,27.52
6.37,56.57
6.50,28.61
6.53,22.17
6.57,15.44
6.60,8.69
6.63,1.44
6.67,-6.91
6.70,-12.06
6.73,-18.84
6.77,-25.27
6.80,-30.76
6.83,-34.28
6.87,-36.96
6.90,-39.13
6.93,-40.49
6.97,-41.83
7.00,-40.22
7.03,-37.51
7.07,-33.64
7.10,-28.75
7.13,-23.12
7.17,-16.96
7.20,-10.41
7.23,-3.46
7.27,3.85
7.30,10.87
7.33,17.13
7.37,23.03
7.40,28.19
7.43,32.59
7.47,36.02
7.50,38.32
7.53,39.27
7.57,38.95
7.60,37.20
7.63,34.10
7.67,29.81
7.70,24.58
7.73,18.39
7.77,11.92
7.80,4.83
7.83,-2.11
7.87,-9.55
7.90,-16.45
7.93,-22.76
7.97,-28.29
8.00,-33.15
8.03,-37.73
8.07,-39.92
8.10,-41.66
8.13,-42.26
8.17,-41.73
8.20,-40.07
8.23,-36.80
8.27,-32.56
8.30,-27.11
8.33,-20.67
8.37,-14.02
8.40,-6.86
8.43,0.53
8.47,6.61
8.50,13.95
8.53,20.71
8.57,26.45
8.60,31.13
8.63,34.53
8.67,36.89
8.70,38.19
8.73,38.21
8.77,37.21
8.80,35.14
8.83,31.99
8.87,27.77
8.90,22.75
8.93,16.41
8.97,9.41
9.00,1.59
9.03,-5.08
9.07,-11.98
9.10,-18.60
9.13,-24.79
9.17,-30.41
9.20,-34.87
9.23,-38.57
9.27,-40.92
9.30,-42.07
9.33,-41.95
9.37,-40.58
9.40,-37.94
9.43,-34.19
9.47,-29.25
9.50,-23.72
9.53,-17.76
9.57,-11.12
9.60,-4.04
9.63,3.26
9.67,10.55
9.70,16.30
9.73,22.34
9.77,27.53
9.80,31.88
9.83,35.13
9.87,37.25
9.90,38.19
9.93,37.86
9.97,36.30
10.00,33.56
10.03,29.68
10.07,24.87
10.10,19.01
10.13,12.55
10.17,5.43
10.20,-1.35
10.23,-8.45
10.27,-15.35
10.30,-21.69
10.33,-27.33
10.37,-32.28
10.40,-36.29
10.43,-39.25
10.47,-41.01
10.50,-41.71
10.53,-41.11
10.57,-39.39
10.60,-36.39
10.63,-32.25
10.67,-26.97
10.70,-20.88
10.73,-14.52
10.77,-7.48
10.80,-0.39
10.83,6.86
10.87,12.84
10.90,19.32
10.93,24.92
10.97,29.53
11.00,33.25
11.03,35.80
11.07,37.18
11.10,37.47
11.13,36.63
11.17,34.65
11.20,31.47
11.23,27.25
11.27,22.23
11.30,16.18
11.33,9.33
11.37,2.01
11.40,-4.60
11.43,-11.54
11.47,-18.04
11.50,-24.09
11.53,-29.61
11.57,-34.22
11.60,-37.69
11.63,-39.99
11.67,-41.23
11.70,-41.30
11.73,-40.10
11.77,-37.77
11.80,-34.25
11.83,-29.64
11.87,-23.97
11.90,-17.98
11.93,-11.35
11.97,-4.41
12.00,2.70
12.03,8.93
12.07,15.64
12.10,21.58
12.13,26.78
12.17,30.90
12.20,34.32
12.23,36.26
12.27,37.22
12.30,37.00
12.33,35.54
12.36,33.28
12.39,29.72
12.43,25.13
12.46,19.54
12.49,13.37
12.53,6.41
12.56,-0.87
12.59,-8.31
12.63,-14.99
12.66,-20.30
12.69,-26.15
12.73,-31.18
12.76,-35.27
12.79,-38.46
12.83,-40.36
12.86,-41.13
12.89,-40.72
12.93,-39.14
12.96,-36.27
12.99,-32.25
13.03,-27.17
13.06,-21.33
13.09,-15.05
13.13,-9.65
13.16,-2.38
13.19,4.50
13.23,11.71
13.26,17.86
13.29,23.73
13.33,28.47
13.36,32.27
13.39,34.94
13.43,36.51
13.46,36.92
13.49,36.23
13.53,34.44
13.56,31.54
13.59,27.38
13.63,22.48
13.66,16.55
13.69,10.09
13.73,2.88
13.76,-4.48
13.79,-11.44
13.83,-17.96
13.86,-22.93
13.89,-28.41
13.93,-33.05
13.96,-36.64
13.99,-39.25
14.03,-40.57
14.06,-40.68
14.09,-39.67
14.13,-37.42
14.16,-34.04
14.19,-29.51
14.23,-23.93
14.26,-17.87
14.29,-12.93
14.33,-5.75
14.36,1.31
14.39,8.07
14.43,14.70
14.46,20.65
14.49,25.89
14.53,30.09
14.56,33.42
14.59,35.45
14.63,36.41
14.66,36.22
14.69,34.88
14.73,32.49
14.76,28.92
14.79,24.47
14.83,18.98
14.86,12.84
14.89,5.97
14.93,-1.08
14.96,-8.27
14.99,-14.95
15.03,-20.17
15.06,-25.85
15.09,-30.82
15.13,-34.86
15.16,-37.86
15.19,-39.74
15.23,-40.45
15.26,-40.00
15.29,-38.41
15.33,-35.56
15.36,-31.64
15.39,-26.54
15.43,-20.74
15.46,-14.65
15.49,-9.15
15.53,-2.09
15.56,4.81
15.59,11.70
15.63,17.80
15.66,23.46
15.69,28.10
15.73,31.78
15.76,34.51
15.79,35.95
15.83,36.30
15.86,35.54
15.89,33.70
15.93,30.61
15.96,26.51
15.99,21.60
16.03,15.77
16.06,9.30
16.09,2.19
16.13,-4.99
16.16,-11.73
16.19,-17.27
16.23,-23.12
16.26,-28.42
16.29,-32.93
16.33,-36.47
16.36,-38.72
16.39,-39.98
16.43,-40.08
16.46,-39.11
16.49,-36.75
16.53,-33.34
16.56,-28.84
16.59,-23.28
16.63,-17.37
16.66,-11.01
16.69,-5.25
16.73,1.49
16.76,8.39
16.79,14.87
16.83,20.72
16.86,25.70
16.89,29.85
16.93,32.91
16.96,34.93
16.99,35.78
17.03,35.51
17.06,34.10
17.09,31.61
17.13,28.09
17.16,23.63
17.19,18.09
17.23,12.05
17.26,5.23
17.29,-1.66
17.33,-8.86
17.36,-15.43
17.39,-21.55
17.43,-25.97
17.46,-30.88
17.49,-34.75
17.53,-37.60
17.56,-39.32
17.59,-39.94
17.63,-39.36
17.66,-37.59
17.69,-34.65
17.73,-30.65
17.76,-25.39
17.79,-19.82
17.83,-13.66
17.86,-8.27
17.89,-1.42
17.93,5.47
17.96,12.31
17.99,18.17
18.03,23.67
18.06,28.25
18.09,31.68
18.13,34.17
18.16,35.56
18.19,35.74
18.23,34.82
18.26,32.88
18.29,29.84
18.33,25.55
18.36,20.51
18.39,14.75
18.43,8.33
18.46,1.29
18.49,-5.65
18.53,-12.41
18.56,-17.71
18.59,-23.43
18.63,-28.56
18.66,-32.93
18.69,-36.19
18.73,-38.30
18.76,-39.35
18.79,-39.35
18.83,-38.19
18.86,-35.73
18.89,-32.19
18.93,-27.51
18.96,-22.04
18.99,-16.15
19.03,-10.93
19.06,-4.18
19.09,2.64
19.13,9.35
19.16,15.58
19.19,21.25
19.23,26.11
19.26,29.98
19.29,32.80
19.33,34.62
19.36,35.33
19.39,34.90
19.43,33.36
19.46,30.68
19.49,27.07
19.53,22.42
19.56,16.93
19.59,10.90
19.63,4.06
19.66,-2.78
19.69,-9.77
19.73,-15.26
19.76,-20.98
19.79,-26.37
19.83,-31.06
19.86,-34.80
19.89,-37.45
19.93,-38.99
19.96,-39.35
19.99,-38.66
20.03,-36.72
20.06,-33.60
20.09,-29.47
20.13,-24.16
20.16,-18.61
20.19,-13.85
20.23,-7.05
20.26,-0.30
20.29,6.46
20.33,13.05
20.36,18.83
20.39,23.99
20.43,28.29
20.46,31.53
20.49,33.76
20.53,34.91
20.56,34.93
20.59,33.80
20.63,31.61
20.66,28.35
20.69,24.20
20.73,19.07
20.76,13.43
20.79,6.82
20.83,-0.10
20.86,-7.11
20.89,-13.50
20.93,-18.58
20.96,-24.06
20.99,-29.07
21.03,-33.16
21.06,-36.14
21.09,-38.08
21.13,-38.89
21.16,-38.65
21.19,-37.19
21.23,-34.53
21.26,-30.83
21.29,-26.11
21.33,-20.57
21.36,-14.77
21.39,-8.05
21.43,-1.59
21.46,5.23
21.49,11.92
21.53,17.95
21.56,23.16
21.59,27.65
21.63,31.34
21.66,34.01
21.69,35.53
21.73,35.98
21.76,35.25
21.79,33.44
21.83,30.37
21.86,26.42
21.89,21.59
21.93,16.06
21.96,9.66
21.99,2.92
22.03,-4.11
22.06,-10.69
22.09,-17.01
22.13,-21.77
22.16,-27.02
22.19,-31.43
22.23,-34.91
22.26,-37.19
22.29,-38.49
22.33,-38.57
22.36,-37.68
22.39,-35.44
22.43,-32.11
22.46,-27.61
22.49,-22.54
22.53,-16.65
22.56,-10.54
22.59,-4.18
22.63,1.45
22.66,8.15
22.69,14.46
22.73,20.06
22.76,24.87
22.79,28.93
22.83,31.89
22.86,33.74
22.89,34.65
22.93,34.32
22.96,32.97
22.99,30.45
23.03,26.94
23.06,22.68
23.09,17.34
23.13,11.51
23.16,4.58
23.19,-1.99
23.23,-8.80
23.26,-14.09
23.29,-19.87
23.33,-25.27
23.36,-29.89
23.39,-33.71
23.43,-36.47
23.46,-38.06
23.49,-38.58
23.53,-37.94
23.56,-36.22
23.59,-33.31
23.63,-29.29
23.66,-24.47
23.69,-18.92
23.73,-12.97
23.76,-7.67
23.79,-1.10
23.83,5.61
23.86,12.11
23.89,17.87
23.93,23.04
23.96,27.29
23.99,30.63
24.03,32.79
24.06,34.00
24.09,34.04
24.13,33.03
24.16,31.09
24.19,27.91
24.23,23.88
24.26,18.91
24.29,13.29
24.33,6.93
24.36,0.15
24.39,-6.76
24.43,-13.15
24.46,-17.95
24.49,-23.44
24.53,-28.34
24.56,-32.42
24.59,-35.43
24.63,-37.44
24.66,-38.33
24.69,-38.05
24.73,-36.74
24.76,-34.19
24.79,-30.64
24.83,-26.04
24.86,-20.70
24.89,-14.97
24.93,-9.97
24.96,-3.19
24.99,3.27
25.03,9.96
25.06,15.91
25.09,21.33
25.13,25.83
25.16,29.40
25.19,32.04
25.23,33.66
25.26,34.23
25.29,33.50
25.33,31.77
25.36,28.97
25.39,25.34
25.43,20.71
25.46,15.30
25.49,9.21
25.53,2.57
25.56,-4.29
25.59,-9.69
25.63,-15.81
25.66,-21.41
25.69,-26.49
25.73,-30.82
25.76,-34.25
25.79,-36.55
25.83,-37.77
25.86,-37.83
25.89,-36.88
25.93,-34.77
25.96,-31.60
25.99,-27.31
26.03,-22.28
26.06,-16.66
26.09,-11.75
26.13,-5.25
26.16,1.10
26.19,7.64
26.23,13.76
26.26,19.24
26.29,24.10
26.33,28.05
26.36,31.00
26.39,32.80
26.43,33.66
26.46,33.42
26.49,32.03
26.53,29.70
26.56,26.20
26.59,21.89
