time,angle
4.40,-59.72
4.43,-59.14
4.47,-56.51
4.50,-51.98
5.40,-43.49
5.43,-49.53
5.47,-54.45
5.50,-57.56
5.53,-58.88
5.57,-58.20
5.60,-55.62
5.63,-51.15
5.67,-45.23
5.70,-37.69
5.73,-28.57
5.77,-18.47
5.80,-7.57
5.83,3.64
5.87,14.35
5.90,24.76
5.93,33.88
5.97,42.09
6.00,48.82
6.03,53.79
6.07,56.95
6.10,58.13
6.13,57.38
6.17,54.63
6.20,49.88
6.23,43.24
6.30,27.40
6.33,17.03
6.37,6.08
6.40,-5.38
6.43,-16.32
6.47,-26.53
6.50,-35.86
6.53,-43.49
6.57,-49.59
6.60,-54.08
6.63,-57.02
6.67,-58.13
6.70,-57.22
6.73,-54.40
6.77,-49.90
6.80,-43.90
6.83,-36.13
6.87,-26.85
6.90,-16.73
6.93,-6.01
6.97,5.23
7.00,15.69
7.03,25.95
7.07,34.74
7.10,42.63
7.13,48.96
7.17,53.61
7.20,56.38
7.23,57.32
7.27,56.24
7.30,53.12
7.33,48.09
7.37,41.23
7.43,25.15
7.47,14.78
7.50,3.96
7.53,-7.14
7.57,-17.85
7.60,-27.89
7.63,-36.76
7.67,-44.13
7.70,-49.84
7.73,-54.03
7.77,-56.64
7.80,-57.27
7.83,-56.08
7.87,-52.93
7.90,-48.22
7.93,-41.90
7.97,-33.89
8.00,-24.63
8.03,-14.51
8.07,-3.80
8.10,7.16
8.13,17.53
8.17,27.20
8.20,35.80
8.23,43.22
8.27,49.12
8.30,53.33
8.33,55.71
8.37,56.10
8.40,54.54
8.43,51.10
8.47,45.68
8.50,38.52
8.53,29.70
8.57,22.10
8.60,11.78
8.63,0.78
8.67,-9.97
8.70,-20.54
8.73,-30.13
8.77,-38.42
8.80,-45.31
8.83,-50.55
8.87,-54.17
8.90,-56.20
8.93,-56.38
8.97,-54.66
9.00,-51.08
9.03,-45.97
9.07,-39.28
9.10,-30.99
9.13,-21.47
9.17,-11.41
9.20,-0.52
9.23,9.96
9.27,20.16
9.30,29.34
9.33,37.62
9.37,44.58
9.40,49.91
9.43,53.51
9.47,55.23
9.50,55.07
9.53,52.99
9.57,48.97
9.60,43.08
9.63,35.48
9.67,26.71
9.70,18.75
9.73,8.34
9.77,-2.26
9.80,-13.04
9.83,-23.04
9.87,-32.26
9.90,-40.11
9.93,-46.25
9.97,-50.93
10.00,-54.04
10.03,-55.53
10.07,-55.09
10.10,-52.75
10.13,-48.64
10.17,-43.08
10.20,-35.92
10.23,-27.31
10.27,-17.60
10.30,-7.24
10.33,3.38
10.37,13.70
10.40,23.53
10.43,32.18
10.47,39.91
10.50,46.24
10.53,50.91
10.57,53.79
10.60,54.80
10.63,53.90
10.67,51.14
10.70,46.43
10.73,40.03
10.83,14.73
10.87,4.21
10.90,-7.76
10.93,-17.11
10.97,-26.61
11.00,-35.10
11.03,-42.33
11.07,-47.82
11.10,-51.85
11.13,-54.34
11.17,-54.97
11.20,-53.74
11.23,-50.76
11.27,-46.04
11.30,-39.83
11.33,-32.07
11.37,-23.07
11.40,-13.06
11.43,-2.56
11.47,7.93
11.50,17.77
11.53,26.92
11.57,35.19
11.60,42.29
11.63,47.79
11.67,51.72
11.70,53.81
11.73,54.01
11.77,52.30
11.80,48.68
11.83,43.28
11.87,36.26
11.90,27.84
11.93,19.90
11.97,8.51
12.00,-1.57
12.03,-11.94
12.07,-21.42
12.10,-30.29
12.13,-38.09
12.17,-44.51
12.20,-49.19
12.23,-52.46
12.27,-54.08
12.30,-53.83
12.33,-51.73
12.37,-47.89
12.40,-42.61
12.43,-35.69
12.47,-27.45
12.50,-18.07
12.53,-7.89
12.57,2.39
12.60,12.82
12.63,22.30
12.67,30.58
12.70,38.33
12.73,44.61
12.77,49.25
12.80,52.16
12.83,53.36
12.87,52.60
12.90,50.03
12.93,45.53
12.97,39.33
13.00,31.69
13.03,23.08
13.07,13.12
13.10,4.46
13.13,-7.09
13.17,-16.88
13.20,-25.87
13.23,-33.78
13.27,-41.00
13.30,-46.48
13.33,-50.44
13.37,-52.77
13.40,-53.43
13.43,-52.22
13.47,-49.25
13.50,-44.66
13.53,-38.65
13.57,-31.00
13.60,-22.15
13.63,-12.55
13.67,-2.43
13.70,7.67
13.73,17.44
13.77,26.21
13.80,34.23
13.83,41.22
13.87,46.53
13.90,50.26
13.93,52.20
13.97,52.24
14.00,50.50
14.03,46.85
14.07,41.49
14.10,34.57
14.13,26.30
14.17,17.33
14.20,7.57
14.23,-2.59
14.27,-12.48
14.30,-21.64
14.33,-30.44
14.37,-37.70
14.40,-43.80
14.43,-48.22
14.47,-51.22
14.50,-52.67
14.53,-52.21
14.57,-49.99
14.60,-46.13
14.63,-40.76
14.67,-33.81
14.70,-25.60
14.73,-16.39
14.77,-6.55
14.80,3.71
14.83,13.54
14.87,22.67
14.90,30.80
14.93,38.06
14.97,43.99
15.00,48.30
15.03,50.95
15.07,51.80
15.10,50.78
15.13,47.85
15.17,43.22
15.20,36.94
15.23,29.32
15.27,20.84
15.30,11.23
15.33,1.43
15.37,-8.71
15.40,-18.15
15.43,-26.71
15.47,-34.53
15.50,-41.09
15.53,-46.21
15.57,-49.68
15.60,-51.65
15.63,-51.90
15.67,-50.30
15.70,-47.12
15.73,-42.37
15.77,-36.03
15.80,-28.32
15.83,-19.34
15.87,-9.90
15.90,0.17
15.93,10.10
15.97,19.40
16.00,27.71
16.03,35.22
16.07,41.65
16.10,46.52
16.13,49.74
16.17,51.20
16.20,50.77
16.23,48.58
16.27,44.52
16.30,38.82
16.33,31.71
16.37,23.50
16.40,14.02
16.43,4.54
16.47,-5.63
16.50,-15.11
16.53,-23.83
16.57,-31.96
16.60,-38.82
16.63,-44.28
16.67,-48.34
16.70,-50.82
16.73,-51.60
16.77,-50.63
16.80,-47.84
16.83,-43.47
16.87,-37.67
16.90,-30.40
16.93,-21.86
16.97,-12.54
17.00,-2.54
17.03,7.19
17.07,16.38
17.10,25.26
17.13,32.78
17.17,39.54
17.20,44.77
17.23,48.41
17.27,50.35
17.30,50.50
17.33,48.83
17.37,45.32
17.40,40.10
17.43,33.41
17.47,25.64
17.50,16.78
17.53,7.15
17.57,-2.40
17.60,-11.92
17.63,-21.29
17.67,-29.63
17.70,-36.77
17.73,-42.65
17.77,-46.80
17.80,-49.73
17.83,-51.03
17.87,-50.48
17.90,-48.21
17.93,-44.25
17.97,-39.00
18.00,-32.09
18.03,-23.97
18.07,-14.98
18.10,-5.37
18.13,4.70
18.17,13.96
18.20,22.82
18.23,30.45
18.27,37.48
18.30,43.01
18.33,47.05
18.37,49.39
18.40,49.98
18.43,48.73
18.47,45.69
18.50,40.92
18.53,34.60
18.57,27.08
18.60,18.49
18.63,9.14
18.67,-0.35
18.70,-10.11
18.73,-19.14
18.77,-27.50
18.80,-34.75
18.83,-40.87
18.87,-45.57
18.90,-48.57
18.93,-50.17
18.97,-50.05
19.00,-48.12
19.03,-44.57
