time,angle
4.93,55.28
4.97,53.07
5.00,48.05
5.03,40.68
5.07,32.56
5.10,21.65
5.13,10.07
5.17,-2.21
5.20,-13.57
5.23,-24.49
5.27,-34.01
5.30,-41.91
5.33,-48.05
5.37,-51.70
5.40,-52.76
5.43,-51.69
5.47,-48.02
5.50,-41.81
5.53,-33.73
5.57,-23.90
5.60,-12.82
5.63,-1.16
5.67,10.68
5.70,21.92
5.73,32.06
5.77,40.54
5.80,47.47
5.83,52.12
5.87,54.45
5.90,54.65
5.93,52.23
5.97,47.42
6.00,40.49
6.03,31.66
6.07,21.51
6.10,10.32
6.13,-1.50
6.17,-12.92
6.20,-23.58
6.23,-32.90
6.27,-40.77
6.30,-46.88
6.33,-50.67
6.37,-52.15
6.40,-51.03
6.43,-47.58
6.47,-41.71
6.50,-33.92
6.53,-24.34
6.57,-13.59
6.60,-2.08
6.63,9.71
6.67,20.84
6.70,30.84
6.73,39.48
6.77,46.37
6.80,51.19
6.83,53.88
6.87,54.10
6.90,51.86
6.93,47.28
6.97,40.37
7.00,31.71
7.03,21.61
7.07,10.53
7.10,-1.14
7.13,-12.49
7.17,-23.03
7.20,-32.36
7.23,-40.39
7.27,-46.34
7.30,-50.09
7.33,-51.51
7.37,-50.64
7.40,-47.21
7.43,-41.50
7.47,-33.74
7.50,-24.36
7.53,-13.69
7.57,-2.26
7.60,9.33
7.63,20.53
7.67,30.33
7.70,38.75
7.73,45.50
7.77,50.25
7.80,52.85
7.83,53.12
7.87,50.96
7.90,46.33
7.93,39.60
7.97,30.97
8.00,21.16
8.03,10.12
8.07,-1.43
8.10,-12.52
8.13,-22.77
8.17,-32.09
8.20,-39.86
8.23,-45.72
8.27,-49.38
8.30,-50.62
8.33,-49.63
8.37,-46.22
8.40,-40.52
8.43,-32.78
8.47,-23.33
8.50,-12.87
8.53,-1.38
8.57,10.03
8.60,20.96
8.63,30.56
8.67,38.71
8.70,45.27
8.73,49.93
8.77,52.36
8.80,52.50
8.83,50.19
8.87,45.58
8.90,38.78
8.93,30.16
8.97,20.29
9.00,9.35
9.03,-2.02
9.07,-12.86
9.10,-23.02
9.13,-32.08
9.17,-39.69
9.20,-45.30
9.23,-48.75
9.27,-49.86
9.30,-48.61
9.33,-44.98
9.37,-39.10
9.40,-31.21
9.43,-21.85
9.47,-11.31
9.50,-0.19
9.53,11.22
9.57,21.94
9.60,31.23
9.63,39.16
9.67,45.48
9.70,49.82
9.73,52.02
9.77,51.70
9.80,49.23
9.83,44.46
9.87,37.58
9.90,28.91
9.93,19.21
9.97,8.23
10.00,-3.04
10.03,-13.49
10.07,-23.45
10.10,-32.33
10.13,-39.60
10.17,-44.94
10.20,-48.15
10.23,-48.98
10.27,-47.47
10.30,-43.64
10.33,-37.56
10.37,-29.56
10.40,-20.09
10.43,-9.48
10.47,1.70
10.50,12.87
10.53,23.16
10.57,32.24
10.60,39.83
10.63,45.65
10.67,49.68
10.70,51.43
10.73,50.95
10.77,48.09
10.80,42.97
10.83,35.94
10.87,27.26
10.90,17.31
10.93,6.40
10.97,-4.84
11.00,-14.96
11.03,-24.65
11.07,-33.14
11.10,-40.03
11.13,-44.97
11.17,-47.76
11.20,-48.21
11.23,-46.25
11.27,-42.09
11.30,-35.76
11.33,-27.56
11.37,-17.92
11.40,-7.40
11.43,3.75
11.47,14.64
11.50,24.67
11.53,32.35
11.56,39.98
11.59,45.69
11.63,49.29
11.66,50.96
11.69,50.12
11.73,47.10
11.76,42.00
11.79,35.25
11.83,26.83
11.86,16.85
11.89,6.01
11.93,-5.13
11.96,-15.74
11.99,-25.44
12.03,-33.66
12.06,-40.26
12.09,-44.86
12.13,-47.45
12.16,-47.58
12.19,-45.43
12.23,-41.02
12.26,-34.68
12.29,-26.65
12.33,-16.89
12.36,-6.39
12.39,4.62
12.43,15.48
12.46,25.61
12.49,34.06
12.53,41.18
12.56,46.24
12.59,49.47
12.63,50.50
12.66,49.34
12.69,45.75
12.73,40.27
12.76,33.22
12.79,24.41
12.83,14.20
12.86,3.29
12.89,-7.60
12.93,-17.97
12.96,-27.37
12.99,-35.12
13.03,-41.11
13.06,-45.18
13.09,-47.10
13.13,-46.71
13.16,-43.97
13.19,-39.01
13.23,-32.21
13.26,-23.80
13.29,-14.01
13.33,-3.40
13.36,7.62
13.39,18.14
13.43,27.63
13.46,35.69
13.49,42.15
13.53,46.83
13.56,49.41
13.59,49.74
13.63,47.90
13.66,43.80
13.69,37.81
13.73,30.41
13.76,21.28
13.79,11.00
13.83,0.11
13.86,-10.50
13.89,-20.55
13.93,-29.24
13.96,-36.34
13.99,-41.77
14.03,-45.25
14.06,-46.49
14.09,-45.41
14.13,-42.08
14.16,-36.66
14.19,-29.42
14.23,-20.61
14.26,-10.74
14.29,-0.11
14.33,10.68
14.36,20.90
14.39,29.87
14.43,37.49
14.46,43.30
14.49,47.27
14.53,49.29
14.56,49.01
14.59,46.42
14.63,41.72
14.66,35.39
14.69,27.52
14.73,18.11
14.76,7.64
14.79,-3.14
14.83,-13.59
14.86,-23.20
14.89,-31.35
14.93,-37.98
14.96,-42.80
14.99,-45.48
15.03,-45.90
15.06,-44.10
15.09,-40.04
15.13,-34.04
15.16,-26.39
15.19,-17.17
15.23,-6.94
15.26,3.73
15.29,14.20
15.33,23.89
15.36,32.39
15.39,39.32
15.43,44.47
15.46,47.66
15.49,48.84
15.53,47.77
15.56,44.51
15.59,39.36
15.63,32.58
15.66,24.04
15.69,14.33
15.73,3.81
15.76,-6.79
15.79,-16.86
15.83,-25.86
15.86,-33.38
15.89,-39.34
15.93,-43.30
15.96,-45.22
15.99,-44.89
16.03,-42.23
16.06,-37.44
16.09,-30.84
16.13,-22.76
16.16,-13.22
16.19,-2.92
16.23,7.64
16.26,17.84
16.29,27.08
16.33,34.77
16.36,41.04
16.39,45.35
16.43,47.81
16.46,48.13
16.49,46.33
16.53,42.36
16.56,36.52
16.59,29.17
16.63,20.31
16.66,10.21
16.69,-0.38
16.73,-10.67
16.76,-20.28
16.79,-28.70
16.83,-35.40
16.86,-40.54
16.89,-43.71
16.93,-44.69
16.96,-43.39
16.99,-39.93
17.03,-34.43
17.06,-27.36
17.09,-18.63
17.13,-8.91
17.16,1.46
17.19,11.84
17.23,21.53
17.26,30.03
17.29,37.16
17.33,42.58
17.36,46.13
17.39,47.71
17.43,47.18
17.46,44.44
17.49,39.70
17.53,33.30
17.56,25.37
17.59,15.96
17.63,5.64
17.66,-4.76
17.69,-14.64
17.73,-23.74
17.76,-31.35
17.79,-37.41
17.83,-41.61
17.86,-43.90
17.89,-43.87
17.93,-41.64
17.96,-37.38
17.99,-31.08
18.03,-23.40
18.06,-14.25
18.09,-4.43
18.13,6.02
18.16,16.02
18.19,25.33
18.23,32.90
18.26,39.24
18.29,43.86
18.33,46.49
18.36,47.11
18.39,45.55
18.43,41.93
18.46,36.56
18.49,29.47
18.53,20.92
18.56,11.21
18.59,0.90
18.63,-9.15
18.66,-18.53
18.69,-26.92
18.73,-33.76
18.76,-39.00
18.79,-42.23
18.83,-43.40
18.86,-42.40
18.89,-39.32
18.93,-34.16
18.96,-27.32
18.99,-19.01
19.03,-9.46
19.06,0.59
19.09,10.76
19.13,20.34
19.16,28.76
19.19,35.82
19.23,41.18
19.26,44.97
19.29,46.55
19.33,46.21
19.36,43.76
19.39,39.26
19.43,33.02
19.46,25.44
19.49,16.24
19.53,6.37
19.56,-3.81
19.59,-13.53
19.63,-22.37
19.66,-30.00
19.69,-36.04
19.73,-40.27
19.76,-42.57
19.79,-42.70
19.83,-40.63
19.86,-36.57
19.89,-30.64
19.93,-23.12
19.96,-14.18
19.99,-4.51
20.03,5.53
20.06,15.37
20.09,24.47
20.13,32.06
20.16,38.30
20.19,42.76
20.23,45.44
20.26,46.11
20.29,44.67
20.33,41.21
20.36,35.93
20.39,29.04
20.43,20.77
20.46,11.16
20.49,1.20
20.53,-8.68
20.56,-17.83
20.59,-26.07
20.63,-32.84
20.66,-37.94
20.69,-41.11
20.73,-42.25
20.76,-41.20
20.79,-38.03
20.83,-32.96
20.86,-26.30
20.89,-18.07
