time,angle
10.64,74.85
10.67,80.98
10.71,84.68
10.74,86.32
10.77,85.95
10.81,83.42
10.84,78.93
10.87,72.42
10.91,64.38
10.94,54.32
10.97,43.31
11.01,31.14
11.21,-50.75
11.24,-61.69
11.27,-70.60
11.31,-77.77
11.34,-83.11
11.37,-86.34
11.41,-87.42
11.44,-86.44
11.47,-83.36
11.51,-78.05
11.54,-70.91
11.84,48.66
11.87,59.23
11.91,68.05
11.94,74.86
11.97,79.66
12.01,82.48
12.04,83.04
12.07,81.56
12.11,77.72
12.14,72.18
12.17,65.19
12.21,56.13
12.24,45.99
12.51,-57.63
12.54,-66.86
12.57,-74.33
12.61,-79.88
12.64,-83.25
12.67,-84.52
12.71,-83.85
12.74,-81.07
12.77,-76.17
12.81,-69.54
12.84,-60.63
12.87,-49.97
12.91,-37.05
13.07,35.42
13.11,47.05
13.14,57.38
13.17,65.87
13.21,72.51
13.24,77.11
13.27,79.66
13.31,80.19
13.34,78.57
13.37,74.96
13.41,69.35
13.44,62.13
13.47,52.98
13.80,-66.09
13.83,-72.94
13.87,-78.03
13.90,-81.09
13.93,-81.96
13.97,-80.89
14.00,-77.82
14.03,-72.72
14.07,-65.98
14.10,-57.00
14.40,58.55
14.43,66.29
14.47,72.15
14.50,75.98
14.57,77.62
14.60,75.32
14.63,71.07
14.67,65.12
15.03,-60.62
15.07,-68.26
15.10,-74.13
15.13,-78.02
15.17,-79.72
15.20,-79.54
15.23,-77.26
15.27,-73.00
15.30,-66.92
15.33,-59.04
15.63,54.29
15.67,62.33
15.70,68.52
15.73,73.03
15.77,75.40
15.80,75.77
15.83,74.06
15.87,70.45
15.90,65.03
16.30,-65.48
16.33,-71.55
16.37,-75.59
16.40,-77.58
16.43,-77.55
16.47,-75.70
16.50,-71.76
16.53,-65.98
16.87,52.65
16.90,60.35
16.93,66.71
16.97,71.17
17.00,73.62
17.03,74.03
17.07,72.43
17.10,68.84
17.13,63.51
17.53,-64.38
17.57,-70.37
17.60,-74.29
17.63,-76.18
17.67,-76.06
17.70,-74.03
17.73,-69.86
17.77,-63.85
18.10,52.29
18.13,59.84
18.17,65.70
18.20,69.72
18.23,71.73
18.27,71.80
18.30,69.87
18.33,66.04
18.37,60.39
18.40,52.94
18.77,-64.88
18.80,-70.22
18.83,-73.46
18.87,-74.73
18.90,-74.11
18.93,-71.40
18.97,-66.75
19.00,-60.34
19.13,-1.55
19.33,54.69
19.37,61.68
19.40,66.73
19.43,69.95
19.47,71.09
19.50,70.34
19.53,67.68
19.57,63.22
19.97,-59.99
20.00,-66.23
20.03,-70.49
20.07,-72.82
20.10,-73.15
20.13,-71.56
20.17,-67.99
20.20,-62.41
20.23,-55.16
20.57,57.48
20.60,63.27
20.63,67.29
20.67,69.23
20.70,69.27
