time,angle
17.16,-84.69
17.19,-84.10
17.23,-81.20
17.26,-76.05
17.29,-69.13
17.69,73.88
17.73,78.90
17.76,81.79
17.79,82.52
17.83,81.16
17.86,77.58
17.89,72.31
18.33,-71.49
18.36,-77.18
18.39,-80.54
18.43,-81.86
18.46,-81.08
18.49,-77.96
18.53,-72.69
18.96,72.87
18.99,77.22
19.03,79.44
19.06,79.55
19.09,77.74
19.13,73.77
19.16,67.92
19.56,-65.21
19.59,-71.85
19.63,-76.33
19.66,-78.75
19.69,-79.10
19.73,-77.24
19.76,-73.14
19.79,-67.31
20.19,68.46
20.23,73.57
20.26,76.58
20.29,77.54
20.33,76.51
20.36,73.37
20.39,68.25
20.79,-61.57
20.83,-68.52
20.86,-73.50
20.89,-76.34
20.93,-77.16
20.96,-75.84
20.99,-72.39
21.03,-67.04
21.06,-59.45
21.39,58.99
21.43,65.93
21.46,71.18
21.49,74.43
21.53,75.55
21.56,74.76
21.59,71.90
21.63,67.06
21.66,60.40
22.03,-60.08
22.06,-66.83
22.09,-71.69
22.13,-74.49
22.16,-75.28
22.19,-73.92
22.23,-70.43
22.26,-65.10
22.29,-57.56
22.63,58.30
22.66,65.12
22.69,69.99
22.73,72.90
22.76,73.80
22.79,72.73
22.83,69.61
22.86,64.58
22.89,57.73
23.23,-52.50
23.26,-60.38
23.29,-66.63
23.33,-70.94
23.36,-73.16
23.39,-73.30
23.43,-71.47
23.46,-67.70
23.49,-61.82
23.86,59.38
23.89,65.50
23.93,69.59
23.96,71.83
23.99,72.04
24.03,70.28
24.06,66.53
24.09,60.90
24.46,-54.89
24.49,-61.81
24.53,-67.26
24.56,-70.62
24.59,-71.97
24.63,-71.26
24.66,-68.52
24.69,-63.87
24.73,-56.95
25.06,54.90
25.09,61.53
25.13,66.43
25.16,69.57
25.19,70.65
25.23,69.73
25.26,67.01
25.29,62.30
25.33,55.97
25.36,48.74
25.63,-41.04
25.66,-50.51
25.69,-58.03
25.73,-64.03
25.76,-68.01
25.79,-70.09
25.83,-70.07
25.86,-68.21
25.89,-64.34
25.93,-58.40
25.96,-51.06
25.99,-41.02
