time,angle
4.56,49.86
5.73,48.98
6.86,48.69
7.99,48.18
9.13,47.54
10.26,46.91
11.39,46.25
12.56,45.88
13.69,45.47
14.83,45.01
15.96,44.46
17.06,43.88
18.19,43.5
19.33,43.17
20.46,42.8
21.59,42.49
22.73,41.98
23.86,41.48
24.96,41.16
26.09,40.89
27.23,40.4
28.33,39.82
29.46,39.59
30.59,39.4
31.69,38.95
32.83,38.61
33.96,38.19
35.06,38.04
36.19,37.57
37.29,37.27
38.42,37.03
39.52,36.65
40.66,36.37
41.76,36.18
42.89,35.98
43.99,35.69
45.12,35.42
46.22,35.13
47.32,34.76
48.46,34.53
49.56,34.33
50.66,34.06
51.79,33.83
52.89,33.61
53.99,33.19
55.12,33.05
56.22,32.74
57.32,32.56
58.46,32.25
59.56,31.97
60.66,31.71
61.76,31.55
62.86,31.25
63.99,31.16
65.09,30.77
66.19,30.66
67.29,30.36
68.39,30.13
69.52,29.83
70.62,29.82
71.72,29.64
72.82,29.51
73.92,29.2
75.02,28.92
76.12,28.77
77.22,28.48
78.32,28.31
79.46,28.1
80.56,27.93
81.66,27.85
82.76,27.75
83.86,27.55
84.96,27.43
86.06,27.28
87.16,27.08
88.26,26.83
89.36,26.55
90.46,26.16
91.56,26.02
92.66,25.98
93.76,25.72
94.86,25.56
95.96,25.39
97.06,25.38
98.16,25.28
99.26,25.1
100.36,24.69
101.46,24.6
102.56,24.3
103.65,24.13
104.72,24.02
105.82,23.79
106.92,23.83
108.02,23.71
109.12,23.64
110.22,23.53
111.32,23.27
112.42,23.27
113.52,22.95
114.62,22.81
115.69,22.53
116.79,22.46
117.89,22.3
118.99,22.24
120.09,22.05
121.19,21.91
122.29,21.82
123.35,21.65
124.45,21.46
125.55,21.49
126.65,21.17
127.75,21.05
128.85,20.81
129.92,20.86
131.02,20.7
132.12,20.49
133.22,20.44
134.32,20.27
135.39,20.06
136.49,19.97
137.59,19.95
138.69,19.85
139.75,19.87
140.85,19.72
141.95,19.48
143.05,19.26
144.15,19.05
145.22,19.01
146.32,19.04
147.42,18.74
148.52,18.68
149.59,18.61
150.69,18.61
151.79,18.44
152.85,18.26
153.95,18.27
155.05,18.17
156.15,17.93
157.22,17.79
158.32,17.83
159.42,17.53
160.52,17.34
161.59,17.29
162.69,17.2
163.79,17.22
164.85,17.2
165.95,17.19
167.05,17.08
168.15,16.84
169.22,16.8
170.32,16.67
171.42,16.61
172.49,16.55
173.58,16.26
174.68,16.15
175.75,16.03
176.85,16.03
177.95,15.85
179.02,15.71
180.12,15.66
181.22,15.48
182.28,15.37
183.38,15.47
184.48,15.31
185.55,15.33
186.65,15.25
187.75,15.19
188.82,15.1
189.92,15.16
191.02,14.95
192.08,14.74
193.18,14.7
194.28,14.63
195.35,14.58
196.45,14.41
197.52,14.29
198.62,14.28
199.72,14.14
200.78,14.24
201.88,14.12
202.95,13.93
204.05,14.04
205.15,14.0
206.22,13.91
207.32,13.94
208.42,13.69
209.48,13.55
210.58,13.48
211.65,13.38
212.75,13.47
213.85,13.22
214.92,13.24
216.02,13.08
217.08,13.07
218.18,12.99
219.28,13.04
220.35,12.9
221.45,12.92
222.52,12.81
223.62,12.81
224.72,12.65
225.78,12.55
226.88,12.39
227.95,12.26
229.05,12.22
230.12,12.03
231.22,12.06
232.32,11.83
233.38,11.76
234.48,11.52
235.55,11.42
236.65,11.41
237.75,11.3
238.82,11.25
239.92,11.1
240.98,11.24
242.08,11.28
243.15,11.24
244.25,11.02
245.31,10.89
246.41,11.02
247.51,11.0
248.58,10.9
249.68,10.81
250.75,10.74
251.85,10.52
252.91,10.4
254.01,10.24
255.08,10.25
256.18,10.34
257.25,10.27
258.35,10.27
259.45,10.02
260.51,9.88
261.61,9.88
262.68,10.01
263.78,9.88
264.85,9.81
265.95,9.8
267.01,9.86
268.11,9.73
269.18,9.64
270.28,9.65
271.35,9.46
272.45,9.39
273.55,9.31
274.61,9.25
275.71,9.12
276.78,8.98
