time,angle
1.13,36.07
2.13,41.77
3.27,40.68
4.33,40.71
5.47,39.61
6.53,39.63
7.67,38.37
8.73,38.61
9.8,37.72
10.93,37.53
12.0,37.02
13.13,36.31
14.2,36.33
15.27,35.61
16.4,35.22
17.47,35.07
18.54,34.2
19.67,34.0
20.74,33.9
21.8,33.14
22.94,32.71
24.0,32.76
25.07,32.29
26.14,31.43
27.27,31.42
28.34,31.27
29.4,30.72
30.47,30.08
31.6,30.02
32.67,29.91
33.74,29.59
34.8,29.0
35.94,28.49
37.0,28.54
38.07,28.31
39.14,28.02
40.2,27.56
41.27,26.94
42.4,26.87
43.47,26.78
44.54,26.66
45.6,26.3
46.67,25.95
47.74,25.6
48.8,25.06
49.94,24.95
51.0,24.94
52.07,24.74
53.14,24.54
54.2,24.34
55.27,23.93
56.34,23.63
57.4,23.23
58.47,22.85
59.6,22.73
60.67,22.62
61.74,22.52
62.8,22.3
63.87,22.16
64.94,21.96
66.0,21.72
67.07,21.47
68.14,21.2
69.2,20.99
70.27,20.69
71.34,20.52
72.4,20.26
73.47,20.01
74.54,19.74
75.6,19.52
76.67,19.29
77.74,19.06
78.8,18.78
79.94,18.66
81.01,18.57
82.07,18.35
83.14,18.16
84.21,18.0
85.27,17.83
86.34,17.68
87.41,17.51
88.47,17.33
89.54,17.18
90.61,16.91
91.67,16.84
92.74,16.68
93.81,16.45
94.87,16.23
95.94,16.03
97.01,15.83
98.07,15.69
99.07,15.57
100.14,15.43
101.21,15.35
102.27,15.22
103.34,15.04
104.41,14.96
105.47,14.83
106.54,14.65
107.61,14.6
108.67,14.57
109.74,14.29
110.81,14.16
111.87,14.02
112.94,13.9
114.01,13.74
115.07,13.59
116.14,13.47
117.21,13.29
118.27,13.12
119.34,12.99
120.41,12.7
121.47,12.6
122.54,12.56
123.54,12.33
124.61,12.32
125.67,12.23
126.74,12.1
127.81,11.92
128.87,11.78
129.94,11.77
131.01,11.6
132.07,11.48
133.14,11.38
134.21,11.16
135.27,11.03
136.34,10.85
137.34,10.81
138.41,10.66
139.47,10.72
140.54,10.52
141.61,10.54
142.68,10.32
143.74,10.3
144.81,10.28
145.88,10.08
146.94,9.81
148.01,9.72
149.08,9.53
150.08,9.51
151.14,9.4
152.21,9.37
153.28,9.27
154.34,9.14
155.41,9.14
156.48,9.02
157.54,8.83
158.61,8.67
159.68,8.51
160.68,8.58
161.74,8.51
162.81,8.36
163.88,8.29
164.94,8.3
166.01,8.16
167.08,8.01
168.14,7.86
169.21,7.67
170.21,7.6
171.28,7.64
172.34,7.6
173.41,7.51
174.48,7.42
175.54,7.3
176.61,7.25
177.68,7.03
178.74,7.02
179.74,6.93
180.81,6.79
181.88,6.75
182.94,6.7
184.01,6.65
185.08,6.55
186.14,6.44
187.21,6.28
188.21,6.23
189.28,6.25
190.34,6.3
191.41,6.2
192.48,6.08
193.54,6.01
194.61,5.86
195.61,5.71
196.68,5.74
197.74,5.65
198.81,5.67
199.88,5.54
200.94,5.54
202.01,5.39
203.08,5.36
204.08,5.26
205.14,5.23
206.21,5.19
207.28,5.03
208.35,4.96
209.41,4.95
210.48,4.9
211.48,4.7
212.55,4.68
213.61,4.72
214.68,4.64
215.75,4.52
216.81,4.49
217.88,4.39
218.88,4.31
219.95,4.17
221.01,4.22
222.08,4.25
223.15,4.22
224.21,4.02
225.28,4.0
226.35,3.89
227.35,3.9
228.41,3.9
229.48,3.84
230.55,3.74
231.61,3.71
232.68,3.59
233.68,3.54
234.75,3.57
235.81,3.51
236.88,3.54
237.95,3.44
239.01,3.31
240.08,3.22
241.08,3.17
242.15,3.22
243.21,3.13
244.28,3.04
