time,angle
5.53,41.8
6.7,41.18
7.84,40.7
9.0,41.43
10.17,41.06
11.34,40.61
12.47,40.19
13.64,39.78
14.8,39.34
15.94,38.99
17.1,38.5
18.24,38.2
19.4,37.91
20.57,37.4
21.7,36.98
22.84,36.69
24.0,37.19
25.14,36.84
26.3,36.66
27.44,36.31
28.61,35.96
29.74,35.76
30.87,35.19
32.04,35.0
33.17,34.87
34.31,34.5
35.47,34.27
36.61,33.83
37.74,33.68
38.91,33.28
40.04,33.22
41.17,32.99
42.31,32.68
43.47,32.28
44.61,32.17
45.74,32.02
46.87,31.74
48.01,31.5
49.14,31.26
50.31,30.83
51.44,30.84
52.58,30.56
53.71,30.38
54.84,30.2
55.98,29.84
57.11,29.7
58.24,29.36
59.41,29.21
60.54,28.93
61.68,28.77
62.81,28.56
63.94,28.46
65.08,28.24
66.21,27.98
67.34,27.8
68.48,27.46
69.61,27.43
70.74,27.27
71.88,27.13
73.01,26.77
74.15,26.65
75.28,26.32
76.41,26.23
77.55,26.07
78.68,25.86
79.81,25.56
80.95,25.41
82.05,25.29
83.18,25.14
84.31,25.05
85.45,24.92
86.58,24.8
87.71,24.59
88.85,24.44
89.98,24.28
91.11,24.05
92.25,23.86
93.35,23.69
94.48,23.58
95.61,23.5
96.75,23.34
97.88,23.12
99.02,22.9
100.15,22.74
101.25,22.69
102.38,22.57
103.52,22.44
104.65,22.24
105.78,22.11
106.92,21.96
108.02,21.85
109.15,21.72
110.28,21.57
111.42,21.36
112.55,21.33
113.65,21.07
114.78,21.04
115.92,20.93
117.05,20.77
118.18,20.54
119.29,20.47
120.42,20.41
121.55,20.27
122.69,20.09
123.79,19.91
124.92,19.81
126.05,19.63
127.19,19.56
128.32,19.42
129.42,19.36
130.55,19.25
131.69,19.11
132.79,18.95
133.92,18.9
135.05,18.75
136.19,18.61
137.29,18.49
138.42,18.38
139.55,18.28
140.69,18.16
141.79,18.03
142.92,17.91
144.06,17.87
145.16,17.72
146.29,17.65
147.42,17.56
148.52,17.4
149.66,17.29
150.79,17.2
151.92,17.13
153.02,16.99
154.16,16.9
155.29,16.77
156.39,16.67
157.52,16.54
158.66,16.49
159.76,16.4
160.89,16.36
162.02,16.24
163.12,16.1
164.26,16.09
165.39,15.93
166.49,15.81
167.63,15.7
168.76,15.62
169.86,15.5
170.99,15.41
172.13,15.38
173.23,15.22
174.36,15.15
175.46,15.04
176.59,14.96
177.73,14.84
178.83,14.78
179.96,14.78
181.09,14.62
182.19,14.5
183.33,14.49
184.46,14.4
185.56,14.32
186.69,14.23
187.83,14.09
188.93,14.08
190.06,14.05
191.16,13.92
192.3,13.86
193.43,13.75
194.53,13.64
195.66,13.61
196.8,13.46
197.9,13.46
199.03,13.34
200.13,13.26
201.26,13.22
202.4,13.07
203.5,13.07
204.63,13.02
205.73,12.9
206.86,12.85
208.0,12.75
209.1,12.72
210.23,12.63
211.33,12.57
212.47,12.49
213.6,12.43
214.7,12.38
215.83,12.3
216.93,12.23
218.07,12.16
219.17,12.06
220.3,12.02
221.43,11.95
222.53,11.87
223.67,11.87
224.77,11.8
225.9,11.73
227.03,11.6
228.13,11.57
229.27,11.55
230.37,11.43
231.5,11.41
232.6,11.27
233.74,11.26
234.87,11.15
235.97,11.13
237.1,11.11
238.2,11.0
239.34,10.96
240.47,10.86
241.57,10.85
242.7,10.74
243.8,10.73
244.94,10.7
246.04,10.64
247.17,10.58
248.27,10.59
249.4,10.45
250.54,10.41
251.64,10.39
252.77,10.31
253.87,10.21
255.0,10.15
256.11,10.12
257.24,10.1
258.34,9.98
259.47,9.99
260.57,9.86
261.71,9.84
262.81,9.82
263.94,9.73
265.07,9.69
266.17,9.66
267.31,9.61
268.41,9.58
269.54,9.54
270.64,9.45
271.77,9.41
272.87,9.35
274.01,9.39
275.14,9.27
276.24,9.21
277.34,9.13
278.48,9.12
279.61,9.06
280.71,9.06
281.84,8.99
282.94,8.95
284.08,8.94
285.18,8.84
286.31,8.87
287.41,8.71
