time,angle
6.34,69.99
7.91,68.24
9.47,66.09
11.04,64.49
12.61,62.89
14.14,61.54
15.67,60.06
17.24,58.84
18.77,57.59
20.31,56.3
21.81,55.08
23.34,54.16
24.87,53.01
26.37,52.1
27.87,51.28
29.41,50.12
30.91,49.43
32.41,48.56
33.91,47.75
35.4,46.93
36.9,46.2
38.4,45.39
39.9,44.66
41.37,44.0
42.87,43.43
44.37,42.83
45.84,42.16
47.34,41.64
48.8,41.01
50.3,40.37
51.77,39.76
53.24,39.2
54.74,38.73
56.2,38.2
57.67,37.57
59.17,36.9
60.64,36.4
62.1,36.01
63.57,35.45
65.04,35.04
66.5,34.59
67.97,34.18
69.44,33.76
70.9,33.38
72.37,32.96
73.84,32.51
75.3,32.21
76.77,31.71
78.24,31.41
79.7,31.74
81.17,30.72
82.6,30.84
84.07,30.43
85.53,29.54
87.0,29.16
88.46,29.74
89.9,29.13
91.36,28.93
92.83,28.64
94.26,28.05
95.73,27.87
97.2,27.45
98.63,27.18
100.1,26.96
101.56,26.76
103.0,26.5
104.46,26.36
105.93,25.99
107.36,25.83
108.83,25.47
110.26,25.23
111.73,24.97
113.16,24.7
114.63,24.56
116.06,24.27
117.53,24.16
118.96,23.85
120.43,23.64
121.86,23.49
123.33,23.24
124.76,23.07
126.23,22.79
127.66,22.6
129.13,22.22
130.56,22.17
131.99,21.92
133.46,21.79
134.89,21.59
136.36,21.37
137.79,21.15
139.26,20.96
140.69,20.82
142.13,20.64
143.59,20.45
145.03,20.25
146.46,20.05
147.93,19.94
149.36,19.81
150.79,19.71
152.26,19.5
153.69,19.29
155.13,19.2
156.59,18.89
158.03,18.77
159.46,18.73
160.93,18.65
162.36,18.53
163.79,18.44
165.23,18.24
166.69,18.28
168.13,18.0
169.56,17.71
171.03,17.74
172.46,17.56
173.89,17.35
175.32,17.2
176.79,17.09
178.22,16.94
179.66,16.8
181.09,16.58
182.56,16.53
183.99,16.45
185.42,16.36
186.86,16.2
188.32,16.05
189.76,15.91
191.19,15.88
192.62,15.8
194.09,15.67
195.52,15.52
196.96,15.47
198.39,15.33
199.82,15.23
201.26,15.03
202.72,15.01
205.56,15.23
207.02,15.06
208.46,14.66
209.92,14.71
211.36,14.58
212.79,14.43
214.22,14.38
215.66,14.41
217.12,14.22
218.56,14.14
219.99,13.98
221.42,13.88
222.86,13.74
224.29,13.66
225.72,13.51
227.19,13.44
228.62,13.4
230.06,13.33
231.49,13.18
232.92,13.08
234.36,13.0
235.79,12.91
237.26,12.87
238.69,12.86
240.12,12.78
241.55,12.66
242.99,12.51
244.42,12.4
245.85,12.32
247.32,12.36
248.75,12.31
250.19,12.14
251.62,12.01
253.05,11.86
254.49,11.8
255.92,11.81
257.35,11.71
258.82,11.7
260.25,11.61
261.69,11.52
263.12,11.34
264.55,11.26
265.99,11.22
267.42,11.2
268.85,11.03
270.29,11.03
271.72,10.89
273.19,10.79
274.62,10.78
276.05,10.61
277.49,10.63
278.92,10.63
280.35,10.64
281.79,10.54
283.22,10.49
284.65,10.42
286.12,10.3
287.52,10.29
288.95,10.28
