time,angle
10.74,86.32
12.04,83.04
13.31,80.19
14.57,77.62
15.8,75.77
17.03,74.03
18.27,71.8
19.47,71.09
20.7,69.27
21.9,67.89
23.1,66.68
24.3,65.41
25.5,64.39
26.7,63.13
27.87,62.15
29.07,61.21
30.23,60.35
31.43,59.38
32.6,58.53
33.77,57.57
34.93,56.34
36.1,55.63
37.26,54.93
38.43,54.21
39.6,53.65
40.76,52.9
41.93,51.94
43.06,51.38
44.23,50.79
45.4,50.07
46.53,49.57
47.7,48.91
48.83,48.07
50.0,47.34
51.13,46.91
52.26,46.16
53.43,45.7
54.56,45.23
55.7,44.63
56.83,44.18
58.0,43.67
59.13,43.18
60.26,42.72
61.4,42.47
62.53,42.19
63.66,41.55
64.8,41.17
65.93,40.87
67.06,40.3
68.2,39.79
69.33,39.52
70.46,39.29
71.6,38.73
72.7,38.18
73.83,38.1
74.96,37.53
76.1,37.33
77.23,36.92
78.33,36.66
79.46,36.52
80.6,36.21
81.7,35.75
82.83,35.58
83.96,35.19
85.06,34.83
86.2,34.73
87.33,34.27
88.43,33.77
89.56,33.48
90.66,33.34
91.8,33.09
92.9,32.62
94.03,32.48
95.13,32.07
96.26,32.01
97.36,31.76
98.5,31.31
99.6,30.87
100.73,30.84
101.83,30.7
102.96,30.49
104.06,30.4
105.16,30.07
106.29,29.95
107.39,29.66
108.49,29.06
109.63,28.86
110.73,28.65
111.86,28.41
112.96,28.29
114.06,27.97
115.16,27.77
116.29,27.56
117.39,27.48
118.49,27.11
119.59,26.79
120.73,26.97
121.83,26.57
122.93,26.25
124.06,26.16
125.16,25.96
126.26,25.82
127.36,25.36
128.46,25.2
129.59,25.15
130.69,25.03
131.79,24.75
132.89,24.63
133.99,24.18
135.13,24.2
136.23,23.99
137.33,23.8
138.43,23.77
139.53,23.4
140.63,23.31
141.73,23.04
142.86,22.92
143.96,22.81
145.06,22.59
146.16,22.38
147.26,22.14
148.36,22.12
149.46,21.95
150.56,21.81
151.66,21.68
152.76,21.58
153.86,21.18
154.96,21.13
156.09,20.99
157.19,20.82
158.29,20.72
159.39,20.55
160.49,20.43
161.59,20.17
162.69,19.75
163.79,20.03
164.89,19.79
165.99,19.66
167.09,19.45
168.19,19.48
169.29,19.43
170.39,19.19
171.49,19.08
172.59,18.82
173.69,18.62
174.79,18.58
175.89,18.48
176.99,18.36
178.09,18.26
179.19,18.3
180.29,18.0
181.39,17.73
182.46,17.62
183.56,17.47
184.66,17.39
185.76,17.17
186.86,17.09
187.96,17.11
189.06,17.07
190.16,16.91
191.26,16.75
192.36,16.44
193.46,16.44
194.56,16.21
195.66,16.11
196.76,15.89
197.86,15.84
198.92,15.62
200.02,15.66
201.12,15.56
202.22,15.57
203.32,15.57
204.42,15.41
205.52,15.27
206.62,15.08
207.72,14.92
208.82,14.77
209.89,14.67
210.99,14.5
212.09,14.54
213.19,14.52
214.29,14.3
215.39,14.24
216.49,14.31
217.59,14.27
218.66,14.08
219.76,14.01
220.86,13.82
221.46,-13.04
221.96,13.79
223.06,13.73
224.16,13.68
225.26,13.46
226.32,13.34
227.42,13.4
228.52,13.14
229.62,12.99
230.72,12.91
231.32,-11.77
231.82,12.93
232.89,12.84
233.99,12.97
235.09,12.93
236.19,12.69
237.29,12.39
238.39,12.25
239.46,12.1
240.55,11.93
241.65,11.98
242.75,11.91
243.85,11.69
244.92,11.66
245.45,-11.38
246.02,11.58
247.12,11.66
248.22,11.44
249.32,11.41
250.42,11.2
251.49,11.12
252.59,11.22
253.69,11.21
254.79,11.3
255.32,-10.72
255.89,11.19
256.42,-10.8
256.95,11.05
258.05,11.01
259.15,11.1
260.25,11.13
261.35,10.87
262.42,10.81
263.52,10.73
264.62,10.73
265.72,10.62
266.82,10.63
267.89,10.45
268.99,10.46
270.09,10.25
271.19,10.1
272.29,10.02
273.35,10.11
274.45,10.03
275.55,9.8
