time,angle
17.79,82.52
19.06,79.55
20.29,77.54
21.53,75.55
22.76,73.8
23.99,72.04
25.19,70.65
26.39,69.12
27.59,67.66
28.79,66.31
29.99,65.14
31.19,64.13
32.39,63.29
33.56,62.37
34.76,61.47
35.92,60.69
37.09,59.77
38.26,58.82
39.46,58.02
40.59,57.16
41.76,56.39
42.92,55.56
44.09,54.73
45.26,53.88
46.42,52.94
47.56,52.36
48.72,51.63
49.86,50.93
51.02,50.28
52.16,49.67
53.32,49.03
54.46,48.59
55.59,48.12
56.76,47.79
57.89,47.47
59.02,46.96
60.16,46.65
61.29,46.0
62.46,45.76
63.59,45.47
64.72,45.04
65.86,44.56
66.99,44.03
68.12,43.52
69.26,43.28
70.39,42.81
71.49,42.51
72.62,42.11
73.76,41.66
74.89,41.07
76.02,40.47
77.16,40.07
78.26,39.91
79.39,39.51
80.52,39.21
81.62,38.93
82.76,38.87
83.89,38.6
84.99,38.06
86.12,37.93
87.26,37.71
88.36,37.4
89.49,37.0
90.62,36.7
91.72,36.27
92.86,35.82
93.96,35.74
95.06,35.14
96.19,34.81
97.29,34.55
98.42,34.4
99.52,34.1
100.66,34.1
101.76,33.66
102.89,33.47
103.99,33.17
105.09,32.82
106.22,32.68
107.32,32.43
108.42,31.86
109.55,31.91
110.65,31.56
111.79,31.43
112.89,31.35
113.99,30.96
115.09,30.74
116.22,30.4
117.32,30.23
118.42,30.04
119.52,29.59
120.65,29.45
121.75,29.24
122.85,28.88
123.95,28.54
125.09,28.42
126.19,28.36
127.29,28.04
128.39,27.84
129.49,27.72
130.59,27.62
131.72,27.29
132.82,27.23
133.92,26.9
135.02,26.63
136.12,26.55
137.22,26.04
138.32,25.75
139.45,25.91
140.55,25.57
141.65,25.49
142.75,25.48
143.85,24.95
144.95,24.83
146.05,24.71
147.15,24.61
148.25,24.37
149.35,24.24
150.45,24.27
151.55,23.87
152.65,23.83
153.75,23.7
154.89,23.57
155.99,23.48
157.09,23.11
158.15,23.15
159.25,23.03
160.39,22.68
161.49,22.42
162.55,22.26
163.69,22.29
164.79,22.13
165.85,21.7
166.95,21.61
168.05,21.66
169.15,21.38
170.25,21.31
171.35,20.88
172.45,21.11
173.55,21.05
174.65,20.77
175.75,20.52
176.85,20.42
177.95,20.58
179.05,20.09
180.15,19.88
181.25,19.69
182.35,19.69
183.45,19.9
184.52,19.54
185.62,19.27
186.72,19.47
187.82,19.38
188.92,19.02
190.02,18.89
191.12,18.61
192.22,18.6
193.32,18.38
194.38,18.23
195.48,17.86
196.58,17.79
197.68,17.76
198.78,17.64
199.88,17.85
200.98,17.64
202.08,17.12
203.15,17.41
204.25,17.14
205.38,17.06
206.45,16.88
207.55,16.66
208.65,17.05
209.75,16.71
210.85,16.72
211.92,16.86
213.02,16.82
214.12,16.09
215.22,16.01
216.28,16.43
217.38,15.9
218.48,15.73
219.58,15.5
220.65,15.71
221.78,15.81
222.85,15.64
223.95,15.78
225.05,15.44
226.15,15.84
227.22,15.59
228.32,15.28
229.42,15.37
230.52,14.87
231.62,14.84
232.72,14.69
233.78,14.44
234.88,14.71
235.98,14.43
237.08,14.83
238.15,14.75
239.25,14.1
240.35,14.61
241.45,14.36
242.55,14.45
243.61,14.17
244.71,13.96
245.81,13.72
246.91,13.46
248.01,13.5
249.08,13.52
250.18,13.25
251.25,13.26
252.35,13.26
253.45,13.34
254.55,13.23
255.65,13.35
256.71,12.87
257.81,12.86
258.91,12.77
260.01,12.67
261.11,12.36
262.18,12.22
263.28,12.35
264.38,12.76
265.45,12.45
266.55,11.93
267.65,12.11
268.75,12.01
269.81,11.7
270.91,12.16
272.01,12.09
273.11,11.61
274.18,12.04
275.28,11.91
276.38,11.79
277.45,11.78
278.55,11.67
279.65,11.53
280.75,11.61
281.81,11.37
282.91,11.24
284.01,10.95
285.11,10.92
286.18,11.04
287.28,10.95
288.38,10.74
289.45,10.72
290.55,10.95
