time,angle
0.67,46.50
0.73,44.11
0.80,36.10
0.87,22.76
0.93,6.02
1.00,-11.52
1.07,-27.41
1.13,-39.39
1.20,-46.35
1.27,-47.51
1.33,-42.90
1.40,-32.89
1.47,-18.37
1.53,-1.56
1.60,15.31
1.67,29.95
1.73,40.32
1.80,45.33
1.87,44.77
1.93,38.64
2.00,27.15
2.07,11.50
2.13,-5.90
2.20,-22.43
2.27,-35.87
2.33,-44.26
2.40,-47.32
2.47,-44.51
2.53,-36.07
2.60,-23.00
2.67,-6.88
2.73,10.02
2.80,25.29
2.87,37.07
2.93,43.70
3.00,44.86
3.07,40.63
3.13,30.77
3.20,16.33
3.27,-0.54
3.33,-17.38
3.40,-31.89
3.47,-41.76
3.53,-46.47
3.60,-45.51
3.67,-38.63
3.73,-26.94
3.80,-11.62
3.87,5.09
3.93,20.92
4.00,33.68
4.07,41.80
4.13,44.53
4.20,41.89
4.27,33.67
4.33,20.57
4.40,4.28
4.47,-12.70
4.53,-27.77
4.60,-39.06
4.67,-45.22
4.73,-45.65
4.80,-40.65
4.87,-30.25
4.93,-15.79
5.00,0.49
5.07,16.59
5.13,30.19
5.20,39.59
5.27,43.76
5.33,42.59
5.40,35.97
5.47,24.18
5.53,8.74
5.60,-8.14
5.67,-23.86
5.73,-36.15
5.80,-43.70
5.87,-45.67
5.93,-41.92
6.00,-32.86
6.07,-19.53
6.13,-3.68
6.20,12.54
6.27,26.77
6.33,37.22
6.40,42.78
6.47,42.90
6.53,37.67
6.60,27.28
6.67,12.67
6.73,-3.96
6.80,-19.93
6.87,-33.16
6.93,-41.92
7.00,-45.15
7.07,-42.93
7.13,-35.18
7.20,-22.86
7.27,-7.43
7.33,8.64
7.40,23.45
7.47,34.82
7.53,41.50
7.60,42.86
7.67,38.97
7.73,29.76
7.80,16.11
7.87,-0.06
7.93,-16.25
8.00,-30.20
8.07,-39.60
8.13,-44.19
8.20,-43.00
8.27,-36.63
8.33,-25.48
8.40,-10.81
8.47,5.13
8.53,20.22
8.60,32.43
8.67,40.03
8.73,42.55
8.80,39.90
8.87,31.86
8.93,19.25
9.00,3.53
9.07,-12.78
9.13,-27.08
9.20,-37.71
9.27,-43.10
9.33,-43.12
9.40,-37.90
9.47,-27.83
9.53,-13.86
9.60,1.84
9.67,17.13
9.73,29.92
9.80,38.47
9.87,41.93
9.93,40.41
10.00,33.48
10.07,21.80
10.13,6.70
10.20,-9.46
10.27,-24.30
10.33,-35.78
10.40,-42.17
10.47,-43.21
10.53,-39.03
10.60,-29.84
10.67,-16.54
10.73,-1.21
10.80,14.22
10.87,27.40
10.93,36.86
11.00,41.32
11.07,40.60
11.13,34.81
11.20,24.01
11.27,9.50
11.33,-6.50
11.40,-21.51
11.47,-33.59
11.53,-40.90
11.60,-43.06
11.67,-39.53
11.73,-31.36
11.80,-18.88
11.87,-3.90
11.93,11.56
12.00,25.19
12.07,35.18
12.13,40.48
12.20,40.69
12.27,35.75
12.33,25.86
12.40,12.04
12.47,-3.73
12.53,-18.96
12.60,-31.49
12.67,-39.63
12.73,-42.21
12.80,-40.14
12.87,-32.75
12.93,-20.90
13.00,-6.26
13.07,9.03
13.13,22.96
13.20,33.55
13.27,39.56
13.33,40.56
13.40,36.45
13.47,27.39
13.53,14.28
13.60,-1.27
13.67,-16.48
13.73,-29.43
13.80,-38.25
13.87,-41.94
13.93,-40.31
14.00,-33.63
14.07,-22.63
14.13,-8.37
14.20,6.72
14.27,20.88
14.33,31.87
14.40,38.62
14.47,40.25
14.53,36.99
14.60,28.64
14.67,16.08
14.73,0.97
14.80,-14.40
14.87,-27.60
14.93,-36.80
15.00,-41.14
15.07,-40.40
15.13,-34.49
15.20,-24.08
15.27,-10.25
15.33,4.76
15.40,18.99
15.47,30.39
15.53,37.65
15.60,39.95
15.67,37.32
15.74,29.64
15.80,17.72
15.87,2.95
15.94,-12.36
16.00,-25.82
16.07,-35.53
16.14,-40.44
16.20,-40.37
16.27,-34.92
16.34,-25.17
16.40,-11.89
16.47,2.95
16.54,17.20
16.60,28.97
16.67,36.72
16.74,39.56
16.80,37.52
16.87,30.47
16.94,19.11
17.00,4.69
17.07,-10.57
17.14,-24.15
17.20,-34.43
17.27,-39.77
17.34,-40.25
17.40,-35.41
17.47,-26.24
17.54,-13.36
17.60,1.33
17.67,15.66
17.74,27.55
17.80,35.66
17.87,39.06
17.94,37.56
18.00,31.09
18.07,20.23
18.14,6.14
18.20,-8.93
18.27,-22.76
18.34,-33.02
18.40,-38.95
18.47,-39.76
18.54,-35.67
18.60,-27.03
18.67,-14.51
18.74,-0.06
18.80,14.23
18.87,26.44
18.94,34.78
19.00,38.59
19.07,37.59
19.14,31.65
19.20,21.21
19.27,7.46
19.34,-7.45
19.40,-21.40
19.47,-32.16
19.54,-38.44
19.60,-39.53
19.67,-35.88
19.74,-27.67
19.80,-15.55
19.87,-1.32
19.94,12.99
20.00,25.15
20.07,33.97
20.14,38.00
20.20,37.44
20.27,31.92
20.34,21.94
20.40,8.46
20.47,-6.28
20.54,-20.20
20.60,-31.11
20.67,-37.81
20.74,-39.49
20.80,-36.17
20.87,-28.15
20.94,-16.25
21.00,-2.30
21.07,11.89
21.14,24.25
21.20,33.20
21.27,37.63
21.34,37.30
21.40,32.17
21.47,22.55
21.54,9.42
21.60,-5.29
21.67,-19.14
21.74,-30.15
21.80,-36.94
21.87,-38.82
21.94,-35.82
22.00,-28.36
22.07,-16.91
22.14,-3.11
22.20,11.02
22.27,23.41
22.34,32.47
22.40,37.12
22.47,37.02
22.54,32.20
22.60,22.91
22.67,10.07
22.74,-4.41
22.80,-18.32
22.87,-29.39
22.94,-36.44
23.00,-38.62
23.07,-36.01
23.14,-28.60
23.20,-17.42
23.27,-3.82
23.34,10.24
23.40,22.74
23.47,31.80
23.54,36.64
23.60,36.82
23.67,32.31
23.74,23.25
23.80,10.65
23.87,-3.69
23.94,-17.54
24.00,-28.64
24.07,-35.53
24.14,-38.31
24.20,-35.58
24.27,-28.67
24.34,-17.73
24.40,-4.26
24.47,9.66
24.54,22.10
24.60,31.32
24.67,36.23
24.74,36.55
24.80,32.24
24.87,23.36
24.94,11.02
25.00,-3.13
25.07,-16.87
25.14,-27.88
25.20,-35.29
25.27,-38.02
25.34,-35.76
25.40,-28.89
25.47,-18.01
25.54,-4.69
25.60,9.14
25.67,21.52
25.74,30.79
25.80,35.82
25.87,36.24
25.94,32.04
26.00,23.49
26.07,11.29
26.14,-2.73
26.20,-16.36
26.27,-27.47
26.34,-35.00
26.40,-37.81
26.47,-35.55
26.54,-28.81
26.60,-18.11
26.67,-4.93
26.74,8.81
26.80,21.14
26.87,30.37
26.94,35.43
27.00,35.93
27.07,31.87
27.14,23.44
27.20,11.45
27.27,-2.52
27.34,-15.99
27.40,-27.20
27.47,-34.34
27.54,-37.19
27.60,-34.92
27.67,-28.51
27.74,-18.07
27.80,-4.92
27.87,8.64
27.94,20.87
28.00,30.00
28.07,35.08
28.14,35.68
28.20,31.70
28.27,23.26
28.34,11.41
28.40,-2.40
28.47,-15.80
28.54,-26.64
28.60,-33.79
28.67,-36.56
28.74,-34.82
28.80,-28.03
28.87,-17.88
28.94,-4.92
29.00,8.54
29.07,20.64
29.14,29.75
29.20,34.81
29.27,35.31
29.34,31.29
29.40,22.99
29.47,11.23
29.54,-2.44
29.60,-15.79
29.67,-26.57
29.74,-34.20
29.80,-36.63
29.87,-34.34
29.94,-27.94
30.00,-17.63
30.07,-4.87
30.14,8.58
30.20,20.55
30.27,29.51
30.34,34.49
30.40,34.96
30.47,31.06
30.54,22.75
30.60,11.00
