time,angle
0.53,-42.46
1.13,36.07
1.20,24.65
1.27,9.57
1.33,-7.01
1.40,-22.44
1.47,-34.73
1.53,-42.44
1.60,-43.84
1.67,-39.38
1.73,-29.67
1.80,-16.03
1.87,-0.16
1.93,15.63
2.00,29.11
2.07,38.17
2.13,41.77
2.20,39.25
2.27,30.93
2.33,17.71
2.40,1.80
2.47,-14.33
2.53,-28.31
2.60,-38.53
2.67,-43.30
2.73,-42.22
2.80,-35.07
2.87,-23.30
2.93,-8.57
3.00,7.35
3.07,22.16
3.13,33.66
3.20,40.02
3.27,40.68
3.33,35.40
3.40,24.67
3.47,10.03
3.53,-6.06
3.60,-21.25
3.67,-33.36
3.73,-41.08
3.80,-42.87
3.87,-38.88
3.93,-29.43
4.00,-16.12
4.07,-0.63
4.13,14.75
4.20,27.94
4.27,37.00
4.33,40.71
4.40,38.36
4.47,30.25
4.53,17.43
4.60,1.93
4.67,-13.84
4.73,-27.59
4.80,-37.57
4.87,-42.26
4.93,-41.12
5.00,-34.18
5.07,-22.71
5.13,-8.28
5.20,7.19
5.27,21.63
5.33,32.82
5.40,39.00
5.47,39.61
5.53,34.43
5.60,23.82
5.67,9.47
5.73,-6.31
5.80,-21.09
5.87,-32.93
5.93,-40.30
6.00,-41.87
6.07,-37.68
6.13,-28.35
6.20,-15.26
6.27,-0.13
6.33,14.89
6.40,27.67
6.47,36.31
6.53,39.63
6.60,37.13
6.67,29.03
6.73,16.31
6.80,1.00
6.87,-14.29
6.93,-27.57
7.00,-37.12
7.07,-41.29
7.13,-39.92
7.20,-32.82
7.27,-21.39
7.33,-7.10
7.40,8.00
7.47,21.90
7.53,32.58
7.60,38.26
7.67,38.37
7.73,32.97
7.80,22.26
7.87,7.98
7.93,-7.47
8.00,-21.72
8.07,-33.01
8.13,-39.81
8.20,-40.93
8.27,-36.20
8.33,-26.64
8.40,-13.60
8.47,1.22
8.53,15.82
8.60,28.02
8.67,35.92
8.73,38.61
8.80,35.56
8.87,27.10
8.93,14.34
9.00,-0.68
9.07,-15.62
9.13,-28.24
9.20,-37.08
9.27,-40.44
9.33,-38.38
9.40,-30.89
9.47,-19.29
9.53,-5.09
9.60,9.66
9.67,22.89
9.73,32.82
9.80,37.72
9.87,37.11
9.93,31.04
10.00,20.00
10.07,5.81
10.13,-9.30
10.20,-22.94
10.27,-33.56
10.33,-39.32
10.40,-39.55
10.47,-34.20
10.53,-24.27
10.60,-11.16
10.67,3.43
10.73,17.33
10.80,28.75
10.87,35.76
10.93,37.53
11.00,33.68
11.07,24.69
11.13,11.64
11.20,-3.15
11.27,-17.47
11.33,-29.36
11.40,-37.24
11.47,-39.60
11.53,-36.63
11.60,-28.44
11.67,-16.59
11.73,-2.54
11.80,11.75
11.87,24.34
11.93,33.18
12.00,37.02
12.07,35.47
12.13,28.52
12.20,17.05
12.27,2.82
12.33,-11.79
12.40,-24.79
12.47,-34.29
12.53,-38.95
12.60,-38.16
12.67,-31.87
12.73,-21.39
12.80,-8.11
12.87,6.08
12.93,19.50
13.00,29.91
13.07,35.67
13.13,36.31
13.20,31.48
13.27,21.73
13.33,8.45
13.40,-6.17
13.47,-19.82
13.53,-30.78
13.60,-37.37
13.67,-38.61
13.73,-34.46
13.80,-25.61
13.87,-13.38
13.93,0.66
14.00,14.45
14.07,26.14
14.13,33.72
14.20,36.33
14.27,33.56
14.33,25.59
14.40,13.57
14.47,-0.64
14.53,-14.82
14.60,-26.76
14.67,-35.14
14.73,-38.23
14.80,-36.18
14.87,-28.93
14.93,-17.92
15.00,-4.54
15.07,9.46
15.13,21.95
15.20,31.13
15.27,35.61
15.33,34.81
15.40,28.74
15.47,18.11
15.53,4.61
15.60,-9.72
15.67,-22.50
15.73,-32.25
15.80,-37.24
15.87,-37.16
15.94,-31.78
16.00,-22.06
16.07,-9.46
16.14,4.38
16.20,17.44
16.27,28.02
16.34,34.11
16.40,35.22
16.47,31.10
16.54,22.06
16.60,9.54
16.67,-4.67
16.74,-18.12
16.80,-28.91
16.87,-35.81
16.94,-37.38
17.00,-33.88
17.07,-25.60
17.14,-13.95
17.20,-0.49
17.27,12.92
17.34,24.45
17.40,32.15
17.47,35.07
17.54,32.70
17.60,25.33
17.67,13.94
17.74,0.19
17.80,-13.58
17.87,-25.40
17.94,-33.72
18.00,-37.08
18.07,-35.38
18.14,-28.55
18.20,-18.04
18.27,-5.06
18.34,8.40
18.40,20.69
18.47,29.72
18.54,34.20
18.60,33.59
18.67,27.97
18.74,17.89
18.80,4.85
18.87,-9.03
18.94,-21.47
19.00,-31.10
19.07,-36.01
19.14,-35.98
19.20,-30.86
19.27,-21.53
19.34,-9.46
19.40,3.96
19.47,16.68
19.54,26.94
19.60,32.87
19.67,34.00
19.74,29.96
19.80,21.26
19.87,9.16
19.94,-4.58
20.00,-17.55
20.07,-28.01
20.14,-34.67
20.20,-36.23
20.27,-32.64
20.34,-24.61
20.40,-13.37
20.47,-0.31
20.54,12.72
20.60,23.84
20.67,31.22
20.74,33.90
20.80,31.40
20.87,24.22
20.94,13.05
21.00,-0.26
21.07,-13.57
21.14,-24.93
21.20,-32.86
21.27,-35.85
21.34,-34.05
21.40,-27.30
21.47,-16.99
21.54,-4.44
21.60,8.67
21.67,20.50
21.74,29.00
21.80,33.14
21.87,32.33
21.94,26.56
22.00,16.55
22.07,3.88
22.14,-9.56
22.20,-21.51
22.27,-30.66
22.34,-35.16
22.40,-34.74
22.47,-29.45
22.54,-20.14
22.60,-8.23
22.67,4.78
22.74,17.01
22.80,26.66
22.87,32.03
22.94,32.71
23.00,28.45
23.07,19.67
23.14,7.69
23.20,-5.61
23.27,-18.12
23.34,-28.00
23.40,-34.09
23.47,-35.06
23.54,-31.16
23.60,-22.98
23.67,-11.73
23.74,0.98
23.80,13.54
23.87,24.03
23.94,30.65
24.00,32.76
24.07,29.85
24.14,22.36
24.20,11.21
24.27,-1.75
24.34,-14.59
24.40,-25.24
24.47,-32.53
24.54,-34.79
24.60,-32.39
24.67,-25.38
24.74,-15.04
24.80,-2.67
24.87,10.01
24.94,21.12
25.00,28.89
25.07,32.29
25.14,30.71
25.20,24.55
25.27,14.39
25.34,1.86
25.40,-11.06
25.47,-22.35
25.54,-30.62
25.60,-34.32
25.67,-33.30
25.74,-27.47
25.80,-17.97
25.87,-6.08
25.94,6.55
26.00,18.18
26.07,26.92
26.14,31.43
26.20,31.25
26.27,26.37
26.34,17.22
26.40,5.25
26.47,-7.63
26.54,-19.39
26.60,-28.49
26.67,-33.59
26.74,-33.75
26.80,-29.03
26.87,-20.49
26.94,-9.25
27.00,3.20
27.07,15.13
27.14,24.71
27.20,30.34
27.27,31.42
27.34,27.78
27.40,19.69
27.47,8.45
27.54,-4.28
27.60,-16.44
27.67,-26.27
27.74,-32.40
27.80,-33.81
27.87,-30.42
27.94,-22.83
28.00,-12.28
28.07,-0.09
28.14,12.02
28.20,22.35
28.27,28.98
28.34,31.27
28.40,28.74
28.47,21.87
28.54,11.32
28.60,-1.04
28.67,-13.47
28.74,-23.85
28.80,-31.05
28.87,-33.44
28.94,-31.45
29.00,-24.78
29.07,-14.96
29.14,-3.18
29.20,9.03
29.27,19.79
29.34,27.39
29.40,30.72
29.47,29.47
29.54,23.68
29.60,13.99
29.67,2.01
29.74,-10.39
29.80,-21.22
29.87,-29.34
29.94,-32.92
30.00,-31.94
30.07,-26.41
30.14,-17.39
30.20,-6.01
30.27,6.11
30.34,17.29
30.40,25.74
30.47,30.08
30.54,29.87
30.60,25.14
30.67,16.37
30.74,4.88
30.80,-7.47
30.87,-18.74
30.94,-27.53
31.00,-32.28
31.07,-32.36
31.14,-27.86
31.20,-19.58
31.27,-8.71
31.34,3.32
31.40,14.72
31.47,23.84
31.54,29.14
31.60,30.02
31.67,26.33
31.74,18.45
31.80,7.59
31.87,-4.64
31.94,-16.22
32.00,-25.67
32.07,-31.32
32.14,-32.34
32.20,-29.07
32.27,-21.49
32.34,-11.24
32.40,0.56
32.47,12.17
32.54,21.84
32.60,28.07
32.67,29.91
32.74,27.26
32.80,20.31
32.87,10.09
32.94,-1.89
33.00,-13.72
33.07,-23.41
33.14,-30.08
33.20,-32.18
33.27,-29.84
33.34,-23.15
33.40,-13.50
33.47,-2.02
33.54,9.66
33.60,19.80
33.67,26.71
33.74,29.59
33.80,27.84
33.87,21.90
33.94,12.32
34.00,0.69
34.07,-11.19
34.14,-21.37
34.20,-28.75
34.27,-31.90
34.34,-30.46
34.40,-24.59
34.47,-15.63
34.54,-4.50
34.60,7.08
34.67,17.63
34.74,25.32
34.80,29.00
34.87,28.31
34.94,23.27
35.00,14.38
35.07,3.18
35.14,-8.69
35.20,-19.30
