time,angle
1.33,41.44
2.5,41.99
3.67,41.46
4.8,40.63
5.97,40.45
7.13,40.01
8.3,39.57
9.47,39.06
10.6,38.64
11.77,38.23
12.93,37.62
14.07,37.23
15.23,36.85
16.37,36.51
17.53,36.21
18.67,35.65
19.83,35.33
20.97,34.86
22.13,34.67
23.27,34.28
24.43,34.04
25.57,33.5
26.73,33.01
27.87,33.66
29.0,33.53
30.17,33.35
31.3,33.09
32.43,32.82
33.6,32.62
34.73,32.26
35.87,31.92
37.03,31.48
38.17,31.23
39.3,31.01
40.43,30.7
41.6,30.46
42.73,30.21
43.87,30.09
45.0,29.81
46.14,29.46
47.27,29.19
48.44,28.96
49.57,28.59
50.7,28.33
51.84,28.16
52.97,27.88
54.1,27.74
55.24,27.43
56.37,27.14
57.5,26.9
58.64,26.63
59.77,26.52
60.9,26.22
62.04,26.01
63.2,25.75
64.34,25.44
65.47,25.39
66.6,25.2
67.74,24.8
68.84,24.66
70.0,24.45
71.1,24.14
72.24,24.09
73.37,23.89
74.5,23.85
75.64,23.61
76.77,23.39
77.9,22.99
79.04,22.72
80.17,22.78
81.3,22.61
82.44,22.41
83.57,22.07
84.7,22.0
85.8,21.87
86.94,21.56
88.07,21.56
89.2,21.23
90.34,21.2
91.47,20.98
92.6,20.84
93.7,20.7
94.84,20.61
95.97,20.4
97.1,20.26
98.24,19.95
99.37,19.89
100.47,19.74
101.6,19.65
102.74,19.45
103.87,19.34
105.0,19.13
106.14,19.05
107.24,19.02
108.37,18.76
109.5,18.59
110.64,18.48
111.74,18.38
112.87,18.23
114.0,18.19
115.14,18.02
116.24,17.88
117.37,17.7
118.5,17.64
119.64,17.4
120.74,17.22
121.87,17.37
123.0,17.13
124.14,16.95
124.7,-16.54
125.24,16.77
126.37,16.72
127.5,16.6
128.64,16.67
129.74,16.44
130.87,16.23
132.01,16.09
133.11,16.01
134.24,15.75
135.37,15.74
136.51,15.68
137.61,15.5
138.74,15.41
139.87,15.28
140.44,-14.84
140.97,15.09
142.11,15.14
143.24,14.96
144.34,14.92
145.47,14.81
146.61,14.83
147.71,14.53
148.84,14.48
149.97,14.33
151.07,14.21
152.21,14.11
153.34,13.95
154.44,14.01
155.57,13.74
156.67,13.75
157.27,-13.31
157.81,13.69
158.94,13.49
160.07,13.41
161.17,13.5
162.31,13.24
163.44,13.33
164.54,13.31
165.67,13.15
166.77,13.03
167.91,13.0
169.04,12.86
170.14,12.73
171.27,12.71
172.41,12.58
173.51,12.54
174.64,12.46
175.74,12.3
176.87,12.26
178.01,12.16
179.11,11.89
180.24,11.98
181.34,11.87
182.47,11.83
183.61,11.72
184.71,11.35
185.84,11.53
