time,angle
2.47,62.35
3.77,61.09
5.07,59.71
6.4,59.04
7.7,57.74
9.0,56.63
10.3,55.43
11.57,54.6
12.87,53.85
14.17,52.96
15.47,52.05
16.74,51.31
18.04,50.3
19.3,49.48
20.57,48.86
21.87,47.99
23.14,47.32
24.4,46.6
25.67,45.96
26.94,45.31
28.2,44.72
29.47,44.1
30.74,43.6
32.0,42.97
33.27,42.41
34.54,41.82
35.77,41.12
37.04,41.17
38.3,40.31
39.57,40.18
40.8,39.65
42.07,38.78
43.34,38.39
44.57,38.26
45.84,37.47
47.07,36.96
48.34,36.62
49.6,36.08
50.84,36.17
52.07,35.68
53.34,35.3
54.57,34.92
55.84,34.3
57.07,34.17
58.37,32.82
59.57,33.45
60.8,32.77
62.04,32.35
63.3,32.42
64.54,32.03
65.77,31.65
67.04,31.25
68.27,31.02
69.5,30.76
70.74,30.39
71.97,30.08
73.24,29.82
74.47,29.57
75.7,29.34
76.94,29.1
78.17,28.77
79.41,28.44
80.67,28.17
81.91,27.9
83.14,27.65
84.37,27.29
85.61,27.13
86.84,26.88
88.07,26.6
89.31,26.28
90.54,26.08
91.77,25.86
93.01,25.57
94.24,25.35
95.47,25.16
96.71,24.92
97.94,24.67
99.17,24.47
100.41,24.3
101.64,24.12
102.87,23.85
104.11,23.62
105.34,23.41
106.57,23.24
107.81,22.99
109.04,22.77
110.27,22.58
111.51,22.37
112.74,22.15
113.97,21.94
115.17,21.74
116.41,21.6
117.64,21.42
118.87,21.23
120.11,21.04
121.34,20.87
122.57,20.67
123.81,20.52
125.04,20.32
126.24,20.18
127.47,20.09
128.71,19.9
129.94,19.76
131.17,19.6
132.41,19.43
133.61,19.15
134.84,18.99
136.07,18.97
137.31,18.75
138.54,18.55
139.77,18.37
140.97,18.24
142.21,18.12
143.44,17.94
144.68,17.81
145.88,17.7
147.11,17.59
148.34,17.5
149.58,17.36
150.81,17.18
152.01,17.04
153.24,16.91
154.48,16.84
155.71,16.72
156.91,16.51
158.14,16.35
159.38,16.33
160.61,16.21
161.84,15.97
163.04,15.89
164.28,15.8
